Date,Open,High,Low,Close,Volume
2026-02-06,12.34,13.53,12.25,13.50,396600
2026-02-05,13.00,13.18,12.14,12.20,858100
2026-02-04,14.01,14.19,13.13,13.72,602500
2026-02-03,13.50,13.86,13.19,13.84,597100
2026-02-02,11.60,12.18,11.20,12.13,714700
2026-01-30,12.09,12.60,11.68,11.91,953000
2026-01-29,13.14,13.30,12.18,13.11,963000
2026-01-28,13.35,13.48,12.86,13.17,680700
2026-01-27,12.94,13.16,11.83,13.07,1018700
2026-01-26,14.10,14.40,13.07,13.15,1168100
2026-01-23,13.70,13.90,13.06,13.26,737300
2026-01-22,12.76,13.52,12.76,13.43,597300
2026-01-21,13.17,13.24,12.53,12.80,893100
2026-01-20,12.65,13.01,12.47,12.99,574500
2026-01-19,12.20,12.57,12.13,12.57,327000
2026-01-16,11.33,12.06,11.19,12.02,650200
2026-01-15,11.83,11.94,11.41,11.58,326400
2026-01-14,11.84,12.10,11.36,11.89,599500
2026-01-13,11.87,12.21,11.35,11.52,697400
2026-01-12,11.90,12.25,11.72,11.74,644000
2026-01-09,10.68,11.48,10.48,11.39,460400
2026-01-08,10.70,10.75,10.31,10.56,575000
2026-01-07,11.27,11.45,10.75,11.03,554300
2026-01-06,11.08,11.87,11.07,11.67,475900
2026-01-05,10.99,11.20,10.83,10.98,328700
2026-01-02,10.90,11.07,10.25,10.59,513200
2025-12-31,10.61,10.92,10.61,10.68,478800
2025-12-30,10.85,11.44,10.61,11.19,563500
2025-12-29,11.00,11.13,10.07,10.48,727300
2025-12-24,10.45,10.88,10.25,10.88,212600
2025-12-23,10.54,10.71,10.11,10.43,519400
2025-12-22,10.43,10.76,10.12,10.34,520200
2025-12-19,9.85,10.30,9.53,10.03,1305500
2025-12-18,10.37,10.42,9.85,9.89,358000
2025-12-17,10.50,10.65,10.21,10.46,316200
2025-12-16,10.09,10.30,9.94,10.25,354700
2025-12-15,10.64,10.78,10.07,10.22,427300
2025-12-12,10.74,10.94,9.90,10.45,899600
2025-12-11,10.82,11.12,10.48,10.51,650600
2025-12-10,10.25,10.86,10.20,10.75,572900
2025-12-09,9.71,10.47,9.68,10.13,558100
2025-12-08,9.80,9.93,9.33,9.62,360000
2025-12-05,9.56,10.30,9.41,9.88,578100
2025-12-04,9.97,9.97,9.29,9.40,316600
2025-12-03,9.80,10.16,9.80,10.06,304200
2025-12-02,9.65,10.00,9.56,9.88,461100
2025-12-01,9.68,10.04,9.34,9.77,880400
2025-11-28,9.10,9.58,9.03,9.43,485200
2025-11-27,8.73,8.80,8.62,8.76,152800
2025-11-26,8.27,9.06,8.25,8.88,649100
2025-11-25,7.35,8.30,7.32,8.29,989700
2025-11-24,6.84,7.25,6.71,7.23,375600
2025-11-21,6.70,6.95,6.62,6.68,962400
2025-11-20,7.16,7.24,6.75,6.80,235200
