Date,Open,High,Low,Close,Volume
2 Gennaio 1970,7.16,7.23,7.16,7.16,22971
5 Gennaio 1970,7.16,7.21,7.07,7.08,25968
6 Gennaio 1970,7.08,7.11,7.01,7.01,92884
7 Gennaio 1970,6.98,6.98,6.96,6.97,73908
8 Gennaio 1970,6.97,7.01,6.92,6.95,57928
9 Gennaio 1970,6.91,6.91,6.86,6.88,62921
12 Gennaio 1970,6.87,6.87,6.81,6.81,81898
13 Gennaio 1970,6.81,6.88,6.78,6.88,58926
14 Gennaio 1970,6.88,6.88,6.81,6.81,57928
15 Gennaio 1970,6.81,6.83,6.78,6.83,79900
16 Gennaio 1970,6.83,6.88,6.78,6.88,91885
19 Gennaio 1970,6.87,6.87,6.76,6.76,94881
20 Gennaio 1970,6.76,6.83,6.76,6.83,19975
21 Gennaio 1970,6.86,7.01,6.86,7.00,32959
22 Gennaio 1970,7.00,7.18,6.98,7.06,184769
23 Gennaio 1970,7.06,7.06,6.91,6.91,34956
26 Gennaio 1970,6.88,6.88,6.75,6.81,86891
27 Gennaio 1970,6.81,6.83,6.67,6.67,37953
28 Gennaio 1970,6.67,6.71,6.66,6.66,114856
29 Gennaio 1970,6.66,6.66,6.53,6.53,142821
30 Gennaio 1970,6.53,6.61,6.52,6.52,40949
2 Febbraio 1970,6.52,6.63,6.52,6.57,43945
3 Febbraio 1970,6.57,6.68,6.53,6.68,98876
4 Febbraio 1970,6.68,6.68,6.56,6.58,238702
5 Febbraio 1970,6.58,6.58,6.53,6.53,42946
6 Febbraio 1970,6.53,6.55,6.53,6.53,42946
9 Febbraio 1970,6.58,6.68,6.58,6.66,31960
10 Febbraio 1970,6.66,6.68,6.63,6.63,19975
11 Febbraio 1970,6.63,6.86,6.63,6.86,40949
12 Febbraio 1970,6.86,6.90,6.81,6.81,124844
13 Febbraio 1970,6.81,6.81,6.80,6.81,25968
16 Febbraio 1970,6.81,6.83,6.78,6.78,42946
17 Febbraio 1970,6.78,6.81,6.77,6.77,27965
