Date,Open,High,Low,Close,Volume
17 Marzo 1980,0.65,0.66,0.65,0.65,29759
18 Marzo 1980,0.65,0.65,0.64,0.65,148797
19 Marzo 1980,0.65,0.65,0.65,0.65,96718
20 Marzo 1980,0.65,0.65,0.65,0.65,63239
21 Marzo 1980,0.65,0.65,0.65,0.65,226915
24 Marzo 1980,0.65,0.65,0.62,0.62,252955
25 Marzo 1980,0.61,0.61,0.56,0.56,245515
26 Marzo 1980,0.57,0.58,0.57,0.57,182276
27 Marzo 1980,0.56,0.56,0.53,0.53,85558
28 Marzo 1980,0.54,0.55,0.54,0.55,212036
31 Marzo 1980,0.55,0.56,0.54,0.55,297594
1 Aprile 1980,0.55,0.55,0.54,0.55,223196
2 Aprile 1980,0.54,0.54,0.54,0.54,438951
3 Aprile 1980,0.54,0.55,0.54,0.55,74399
7 Aprile 1980,0.55,0.55,0.53,0.53,126477
8 Aprile 1980,0.53,0.55,0.53,0.55,241795
9 Aprile 1980,0.55,0.59,0.55,0.59,305034
10 Aprile 1980,0.59,0.63,0.59,0.62,212036
11 Aprile 1980,0.63,0.64,0.63,0.64,141357
14 Aprile 1980,0.63,0.63,0.63,0.63,174836
15 Aprile 1980,0.63,0.65,0.63,0.65,111598
16 Aprile 1980,0.65,0.67,0.65,0.65,200876
17 Aprile 1980,0.64,0.64,0.63,0.64,52079
18 Aprile 1980,0.64,0.64,0.63,0.64,33479
21 Aprile 1980,0.64,0.64,0.63,0.64,33479
22 Aprile 1980,0.64,0.66,0.64,0.66,223196
23 Aprile 1980,0.66,0.67,0.66,0.66,107878
24 Aprile 1980,0.67,0.69,0.67,0.68,212036
25 Aprile 1980,0.68,0.71,0.68,0.71,249235
28 Aprile 1980,0.71,0.73,0.71,0.72,491030
29 Aprile 1980,0.72,0.73,0.71,0.72,409192
30 Aprile 1980,0.72,0.75,0.72,0.75,267835
1 Maggio 1980,0.75,0.77,0.74,0.76,409192
2 Maggio 1980,0.76,0.76,0.74,0.75,364553
