Date,Open,High,Low,Close,Volume
1980-03-17,16.92,20.17,16.92,17.33,258000
1980-03-18,17.33,19.08,16.42,19.08,292200
1980-03-19,20.00,21.58,20.00,21.58,239250
1980-03-20,21.58,22.67,20.17,20.75,192000
1980-03-21,20.75,22.17,20.17,22.17,57750
1980-03-24,22.17,22.42,18.92,19.42,85050
1980-03-25,19.42,19.83,18.83,19.25,70200
1980-03-26,18.75,18.75,17.17,17.25,114900
1980-03-27,15.25,15.25,13.42,14.67,348750
1980-03-28,15.58,17.42,15.58,17.33,256800
1980-03-31,17.33,18.25,16.92,17.33,181650
1980-04-01,17.33,18.08,16.67,17.17,120150
1980-04-02,17.00,17.00,16.17,16.17,38250
1980-04-03,16.17,16.17,15.58,15.92,57000
1980-04-07,15.92,18.00,15.00,18.00,67800
1980-04-08,18.00,19.33,17.75,18.50,147150
1980-04-09,18.50,19.33,18.17,18.50,98850
1980-04-10,18.50,19.00,18.50,18.92,60900
1980-04-11,18.92,19.17,18.67,19.00,40800
1980-04-14,19.00,19.33,18.00,18.00,58800
1980-04-15,18.00,18.50,17.33,18.33,48450
1980-04-16,18.33,18.83,17.67,17.83,37500
1980-04-17,17.83,18.00,16.67,17.58,45450
1980-04-18,17.58,17.67,17.17,17.25,22200
1980-04-21,17.25,17.25,16.42,16.67,52500
1980-04-22,16.67,17.58,16.42,17.08,71850
1980-04-23,17.08,17.67,17.08,17.50,40050
1980-04-24,17.75,19.17,17.75,18.83,75900
1980-04-25,18.92,19.33,18.92,19.00,68250
1980-04-28,19.00,19.00,18.42,18.67,81000
1980-04-29,18.58,18.58,18.25,18.33,27600
1980-04-30,18.33,18.58,17.25,17.83,68100
1980-05-01,17.75,17.75,17.17,17.58,53100
1980-05-02,17.58,18.33,17.58,18.33,30900
1980-05-05,18.33,18.42,18.00,18.00,25800
1980-05-06,17.92,17.92,17.42,17.42,47250
1980-05-07,17.42,17.75,17.33,17.50,30000
1980-05-08,17.50,17.67,17.25,17.42,14100
1980-05-09,17.08,17.08,16.92,16.92,13800
1980-05-12,16.83,16.83,16.33,16.50,27750
1980-05-13,16.50,16.50,15.33,16.00,74400
1980-05-14,16.00,16.83,15.92,16.58,63150
1980-05-15,16.42,16.42,16.08,16.08,28350
1980-05-16,15.92,15.92,15.25,15.25,48600
1980-05-19,15.25,15.83,15.08,15.75,42450
1980-05-20,15.75,15.75,15.50,15.50,13500
1980-05-21,15.50,15.67,15.08,15.42,10500
1980-05-22,15.42,15.50,15.00,15.42,18150
1980-05-23,15.50,15.92,15.50,15.58,40650
1980-05-27,15.58,17.92,15.42,17.92,133050
1980-05-28,17.92,18.17,17.00,17.50,116550
1980-05-29,17.50,17.67,16.92,17.25,68250
1980-05-30,17.50,18.25,17.50,18.17,91950
1980-06-02,18.83,19.50,18.83,19.17,169050
1980-06-03,19.17,19.50,19.00,19.25,77100
1980-06-04,19.67,21.33,19.67,21.25,153600
1980-06-05,21.25,22.00,21.25,21.25,104100
1980-06-06,21.42,22.00,21.42,21.50,75750
1980-06-09,23.42,24.33,23.42,24.25,158700
1980-06-10,23.50,23.50,22.33,23.17,158100
1980-06-11,23.17,23.58,22.75,23.17,78750
1980-06-12,23.17,23.75,23.00,23.67,76200
1980-06-13,23.67,24.17,23.42,23.67,43950
1980-06-16,23.17,23.17,22.33,22.42,51600
1980-06-17,22.42,23.17,22.17,22.92,26100
1980-06-18,22.92,23.42,22.83,22.83,22800
1980-06-19,22.83,23.50,22.67,23.08,28800
1980-06-20,23.08,23.25,22.75,23.08,26700
1980-06-23,22.92,22.92,22.42,22.67,19800
1980-06-24,22.67,23.92,22.17,23.92,83250
1980-06-25,23.92,24.83,23.83,24.42,110400
1980-06-26,24.42,24.83,24.33,24.58,36300
1980-06-27,24.58,25.17,24.17,25.08,98550
1980-06-30,25.08,25.67,25.00,25.17,74550
1980-07-01,25.17,26.08,25.17,25.92,60150
1980-07-02,25.92,26.17,25.33,25.33,35850
1980-07-03,25.33,25.92,24.67,25.83,75150
1980-07-07,25.83,26.50,25.33,26.42,58200
1980-07-08,26.42,26.67,25.42,25.58,55650
1980-07-09,25.17,25.17,23.17,23.25,72150
1980-07-10,23.33,24.17,23.33,24.00,58800
1980-07-11,24.00,24.25,23.67,24.00,44100
1980-07-14,23.42,23.42,22.67,23.00,54750
1980-07-15,22.50,22.50,21.75,21.83,117150
1980-07-16,22.33,23.33,22.33,23.33,51150
1980-07-17,23.33,23.50,23.08,23.25,20100
1980-07-18,23.17,23.17,22.67,22.75,45150
1980-07-21,22.75,23.25,22.67,23.00,14250
1980-07-22,23.00,24.42,22.42,24.17,46500
1980-07-23,24.17,24.75,23.67,24.08,69600
1980-07-24,24.08,24.83,24.08,24.50,39750
1980-07-25,24.50,24.92,24.42,24.58,51000
1980-07-28,24.25,24.25,23.50,23.67,30750
1980-07-29,23.67,23.75,23.08,23.25,29400
1980-07-30,23.25,23.25,22.58,22.83,39600
1980-07-31,22.83,23.58,22.58,23.33,37950
1980-08-01,23.33,23.67,23.33,23.50,22500
1980-08-04,23.50,23.92,23.33,23.33,25500
1980-08-05,23.33,23.50,23.17,23.33,32400
1980-08-06,23.33,23.58,23.25,23.42,18450
1980-08-07,23.42,23.67,22.75,22.75,35250
1980-08-08,22.75,23.42,22.67,23.17,45900
1980-08-11,22.83,22.83,22.00,22.08,47100
1980-08-12,22.08,22.50,21.92,22.17,65250
1980-08-13,22.17,22.58,22.00,22.25,24000
1980-08-14,22.42,22.83,22.42,22.67,22950
1980-08-15,22.67,23.00,22.08,22.17,22200
1980-08-18,22.17,22.50,21.75,22.00,21450
1980-08-19,22.08,22.50,22.08,22.08,17700
1980-08-20,22.17,24.00,22.17,23.83,67500
1980-08-21,23.83,24.25,23.75,24.00,55800
1980-08-22,24.00,24.33,23.58,23.83,34950
1980-08-25,23.67,23.67,23.25,23.25,23550
1980-08-26,23.25,23.50,22.83,23.42,24000
1980-08-27,23.50,24.08,23.50,24.08,23850
1980-08-28,24.00,24.00,23.33,23.67,18600
1980-08-29,23.67,23.67,23.33,23.67,15150
1980-09-02,23.67,24.92,23.67,24.75,65700
1980-09-03,24.75,24.75,24.17,24.33,43200
1980-09-04,24.83,26.17,24.83,26.00,135900
1980-09-05,26.17,27.92,26.17,27.33,246600
1980-09-08,29.00,30.00,29.00,30.00,241650
1980-09-09,29.50,29.50,28.42,29.33,150150
1980-09-10,29.67,31.25,29.67,30.00,136350
1980-09-11,30.00,31.00,29.08,30.42,103050
1980-09-12,30.42,31.50,29.00,29.67,119700
1980-09-15,29.50,29.50,27.50,28.33,94050
1980-09-16,29.00,31.00,29.00,31.00,79950
1980-09-17,31.00,31.83,29.67,29.67,128700
1980-09-18,29.67,30.67,29.50,30.17,81600
1980-09-19,30.75,31.83,30.75,31.83,108600
1980-09-22,32.00,35.67,32.00,35.33,254100
1980-09-23,35.33,35.83,32.50,33.50,155850
1980-09-24,33.50,33.67,31.92,33.42,107550
1980-09-25,33.00,33.00,32.00,32.67,114900
1980-09-26,32.58,32.58,29.33,30.17,140700
1980-09-29,30.17,30.83,29.25,29.25,90150
1980-09-30,29.33,31.08,29.33,31.00,56550
1980-10-01,31.00,31.67,30.75,30.75,98250
1980-10-02,30.75,30.75,30.00,30.00,69000
1980-10-03,30.00,30.17,29.42,30.00,44250
1980-10-06,30.25,32.08,30.25,32.00,88950
1980-10-07,31.92,31.92,30.67,31.00,38100
1980-10-08,31.25,31.83,31.25,31.25,28500
1980-10-09,31.83,32.83,31.83,32.00,65850
1980-10-10,32.00,32.67,32.00,32.58,24600
1980-10-13,32.58,32.58,31.33,32.17,23700
1980-10-14,31.83,31.83,30.83,31.67,37650
1980-10-15,31.67,32.00,30.42,30.67,47850
1980-10-16,30.67,30.67,29.08,29.08,62550
1980-10-17,29.08,30.17,29.00,29.00,43800
1980-10-20,29.00,29.83,28.50,29.08,57600
1980-10-21,29.08,29.17,28.42,28.58,81600
1980-10-22,29.00,29.83,29.00,29.17,52950
1980-10-23,29.00,29.00,27.17,27.33,84900
1980-10-24,27.33,28.50,27.33,28.17,45450
1980-10-27,28.42,29.00,28.42,28.83,17100
1980-10-28,28.83,29.00,28.00,28.67,26400
1980-10-29,29.00,29.67,29.00,29.00,32850
1980-10-30,29.00,29.33,28.33,28.50,29850
1980-10-31,27.83,27.83,27.17,27.75,62700
