Date,Open,High,Low,Close,Volume
4 Maggio 2012,53.04,119.60,53.04,119.60,6
7 Maggio 2012,119.60,119.60,119.60,119.60,0
8 Maggio 2012,53.04,104.00,53.04,104.00,6
9 Maggio 2012,104.00,104.00,104.00,104.00,0
10 Maggio 2012,104.00,104.00,104.00,104.00,0
11 Maggio 2012,102.96,105.04,102.96,105.04,10
14 Maggio 2012,105.04,107.12,105.04,107.12,317
15 Maggio 2012,64.48,105.04,62.40,105.04,40
16 Maggio 2012,105.04,105.04,105.04,105.04,0
17 Maggio 2012,97.76,97.76,97.76,97.76,5
18 Maggio 2012,97.76,97.76,97.76,97.76,0
21 Maggio 2012,97.76,97.76,97.76,97.76,0
22 Maggio 2012,97.76,97.76,97.76,97.76,0
23 Maggio 2012,97.76,97.76,97.76,97.76,0
24 Maggio 2012,97.76,97.76,97.76,97.76,0
25 Maggio 2012,97.76,97.76,97.76,97.76,0
29 Maggio 2012,97.76,97.76,97.76,97.76,0
30 Maggio 2012,97.76,97.76,97.76,97.76,0
31 Maggio 2012,104.00,104.00,104.00,104.00,2
1 Giugno 2012,52.00,78.00,52.00,78.00,1284
4 Giugno 2012,68.64,104.00,68.64,104.00,27
5 Giugno 2012,56.16,105.04,56.16,102.96,18
6 Giugno 2012,102.96,102.96,102.96,102.96,0
7 Giugno 2012,102.96,102.96,102.96,102.96,0
8 Giugno 2012,102.96,102.96,102.96,102.96,0
11 Giugno 2012,102.96,102.96,102.96,102.96,0
12 Giugno 2012,102.96,102.96,102.96,102.96,0
13 Giugno 2012,102.96,102.96,102.96,102.96,0
14 Giugno 2012,102.96,102.96,102.96,102.96,0
15 Giugno 2012,102.96,102.96,102.96,102.96,0
18 Giugno 2012,102.96,102.96,102.96,102.96,0
19 Giugno 2012,102.96,102.96,102.96,102.96,0
20 Giugno 2012,102.96,102.96,102.96,102.96,0
21 Giugno 2012,102.96,102.96,102.96,102.96,0
22 Giugno 2012,102.96,102.96,102.96,102.96,0
25 Giugno 2012,53.04,53.04,53.04,53.04,19
26 Giugno 2012,93.60,93.60,93.60,93.60,1
27 Giugno 2012,93.60,93.60,93.60,93.60,0
28 Giugno 2012,93.60,93.60,93.60,93.60,0
29 Giugno 2012,93.60,93.60,93.60,93.60,0
2 Luglio 2012,93.60,93.60,93.60,93.60,0
3 Luglio 2012,93.60,93.60,93.60,93.60,0
5 Luglio 2012,93.60,93.60,93.60,93.60,0
6 Luglio 2012,93.60,93.60,93.60,93.60,0
9 Luglio 2012,93.60,93.60,93.60,93.60,0
10 Luglio 2012,93.60,93.60,93.60,93.60,0
11 Luglio 2012,93.60,93.60,93.60,93.60,0
12 Luglio 2012,93.60,93.60,93.60,93.60,0
13 Luglio 2012,93.60,93.60,93.60,93.60,0
16 Luglio 2012,93.60,93.60,93.60,93.60,0
17 Luglio 2012,105.04,105.04,105.04,105.04,2
18 Luglio 2012,105.04,105.04,105.04,105.04,0
19 Luglio 2012,105.04,105.04,105.04,105.04,0
20 Luglio 2012,105.04,105.04,105.04,105.04,0
23 Luglio 2012,105.04,105.04,105.04,105.04,0
24 Luglio 2012,105.04,105.04,105.04,105.04,0
25 Luglio 2012,105.04,105.04,105.04,105.04,0
26 Luglio 2012,105.04,105.04,105.04,105.04,0
27 Luglio 2012,105.04,105.04,105.04,105.04,0
30 Luglio 2012,105.04,105.04,105.04,105.04,0
31 Luglio 2012,105.04,105.04,105.04,105.04,0
1 Agosto 2012,105.04,105.04,105.04,105.04,0
2 Agosto 2012,105.04,105.04,105.04,105.04,0
3 Agosto 2012,105.04,105.04,105.04,105.04,0
6 Agosto 2012,105.04,105.04,105.04,105.04,0
7 Agosto 2012,105.04,105.04,105.04,105.04,0
8 Agosto 2012,105.04,105.04,105.04,105.04,0
9 Agosto 2012,105.04,105.04,105.04,105.04,0
10 Agosto 2012,105.04,105.04,105.04,105.04,0
13 Agosto 2012,105.04,105.04,105.04,105.04,0
14 Agosto 2012,105.04,105.04,105.04,105.04,0
15 Agosto 2012,105.04,105.04,105.04,105.04,0
16 Agosto 2012,105.04,105.04,105.04,105.04,0
17 Agosto 2012,105.04,105.04,105.04,105.04,0
20 Agosto 2012,105.04,105.04,105.04,105.04,0
21 Agosto 2012,105.04,105.04,105.04,105.04,0
22 Agosto 2012,105.04,105.04,105.04,105.04,0
23 Agosto 2012,105.04,105.04,105.04,105.04,0
24 Agosto 2012,105.04,105.04,105.04,105.04,0
27 Agosto 2012,105.04,105.04,105.04,105.04,0
28 Agosto 2012,105.04,105.04,105.04,105.04,0
29 Agosto 2012,105.04,105.04,105.04,105.04,0
30 Agosto 2012,105.04,105.04,105.04,105.04,0
31 Agosto 2012,105.04,105.04,105.04,105.04,10
4 Settembre 2012,105.04,105.04,105.04,105.04,0
5 Settembre 2012,53.04,104.00,20.80,104.00,110
6 Settembre 2012,41.60,104.00,41.60,104.00,18
7 Settembre 2012,104.00,104.00,104.00,104.00,0
10 Settembre 2012,30.16,30.16,30.16,30.16,1
11 Settembre 2012,104.00,104.00,104.00,104.00,2
12 Settembre 2012,104.00,104.00,104.00,104.00,0
13 Settembre 2012,104.00,104.00,104.00,104.00,0
14 Settembre 2012,104.00,104.00,104.00,104.00,0
17 Settembre 2012,104.00,104.00,104.00,104.00,0
18 Settembre 2012,104.00,104.00,104.00,104.00,0
19 Settembre 2012,104.00,104.00,104.00,104.00,0
20 Settembre 2012,104.00,104.00,104.00,104.00,0
21 Settembre 2012,104.00,104.00,104.00,104.00,0
24 Settembre 2012,104.00,104.00,104.00,104.00,0
25 Settembre 2012,104.00,104.00,104.00,104.00,0
26 Settembre 2012,104.00,104.00,104.00,104.00,0
27 Settembre 2012,104.00,104.00,104.00,104.00,0
28 Settembre 2012,104.00,104.00,104.00,104.00,0
1 Ottobre 2012,104.00,104.00,104.00,104.00,0
2 Ottobre 2012,104.00,104.00,104.00,104.00,0
3 Ottobre 2012,104.00,104.00,104.00,104.00,0
4 Ottobre 2012,104.00,104.00,104.00,104.00,0
5 Ottobre 2012,104.00,104.00,104.00,104.00,0
8 Ottobre 2012,104.00,104.00,104.00,104.00,0
9 Ottobre 2012,104.00,104.00,104.00,104.00,0
10 Ottobre 2012,104.00,104.00,104.00,104.00,0
11 Ottobre 2012,104.00,104.00,104.00,104.00,0
12 Ottobre 2012,104.00,104.00,104.00,104.00,0
15 Ottobre 2012,104.00,104.00,104.00,104.00,0
16 Ottobre 2012,104.00,104.00,104.00,104.00,0
17 Ottobre 2012,104.00,104.00,104.00,104.00,0
18 Ottobre 2012,104.00,104.00,104.00,104.00,0
19 Ottobre 2012,104.00,104.00,104.00,104.00,0
22 Ottobre 2012,104.00,104.00,104.00,104.00,0
23 Ottobre 2012,104.00,104.00,104.00,104.00,0
24 Ottobre 2012,104.00,104.00,104.00,104.00,0
25 Ottobre 2012,104.00,104.00,104.00,104.00,0
26 Ottobre 2012,104.00,104.00,104.00,104.00,0
31 Ottobre 2012,104.00,104.00,104.00,104.00,0
1 Novembre 2012,104.00,104.00,104.00,104.00,0
2 Novembre 2012,104.00,104.00,104.00,104.00,0
5 Novembre 2012,104.00,104.00,104.00,104.00,0
