Date,Open,High,Low,Close,Volume
10 Novembre 2005,1224.00,1224.00,1008.00,1080.00,5
11 Novembre 2005,1080.00,1080.00,1080.00,1080.00,0
14 Novembre 2005,1080.00,1080.00,1080.00,1080.00,0
15 Novembre 2005,1080.00,1080.00,1080.00,1080.00,0
16 Novembre 2005,1080.00,1080.00,1080.00,1080.00,0
17 Novembre 2005,1080.00,1080.00,1080.00,1080.00,0
18 Novembre 2005,1080.00,1080.00,1080.00,1080.00,0
21 Novembre 2005,1080.00,1080.00,1080.00,1080.00,0
22 Novembre 2005,1080.00,1080.00,1080.00,1080.00,0
23 Novembre 2005,1080.00,1080.00,1080.00,1080.00,0
25 Novembre 2005,1080.00,1080.00,1080.00,1080.00,0
28 Novembre 2005,1080.00,1080.00,1080.00,1080.00,0
29 Novembre 2005,1008.00,1008.00,720.00,864.00,13
30 Novembre 2005,720.00,1200.00,720.00,1200.00,3
1 Dicembre 2005,864.00,984.00,864.00,960.00,4
2 Dicembre 2005,960.00,960.00,960.00,960.00,0
5 Dicembre 2005,960.00,960.00,960.00,960.00,3
6 Dicembre 2005,960.00,960.00,960.00,960.00,0
7 Dicembre 2005,1056.00,1056.00,969.60,969.60,6
8 Dicembre 2005,969.60,969.60,969.60,969.60,0
9 Dicembre 2005,969.60,969.60,969.60,969.60,0
12 Dicembre 2005,969.60,969.60,969.60,969.60,0
13 Dicembre 2005,969.60,969.60,969.60,969.60,0
14 Dicembre 2005,960.00,960.00,960.00,960.00,4
15 Dicembre 2005,960.00,960.00,960.00,960.00,0
16 Dicembre 2005,960.00,960.00,960.00,960.00,0
19 Dicembre 2005,960.00,960.00,960.00,960.00,0
20 Dicembre 2005,960.00,960.00,960.00,960.00,0
21 Dicembre 2005,960.00,960.00,960.00,960.00,0
22 Dicembre 2005,960.00,960.00,960.00,960.00,0
23 Dicembre 2005,960.00,960.00,960.00,960.00,0
27 Dicembre 2005,960.00,960.00,960.00,960.00,0
28 Dicembre 2005,960.00,960.00,960.00,960.00,0
29 Dicembre 2005,960.00,960.00,960.00,960.00,0
30 Dicembre 2005,960.00,960.00,960.00,960.00,0
