Date,Open,High,Low,Close,Volume
2014-08-26,5.55,5.55,5.40,5.55,267
2014-08-27,5.70,5.70,5.70,5.70,0
2014-08-28,5.70,5.70,5.70,5.70,0
2014-08-29,4.50,5.40,4.50,5.40,343
2014-09-02,5.40,5.40,5.40,5.40,0
2014-09-03,4.20,4.20,3.60,3.90,1360
2014-09-04,3.90,3.90,3.90,3.90,0
2014-09-05,3.90,4.20,3.90,4.20,583
2014-09-08,4.20,4.20,4.20,4.20,1150
2014-09-09,4.20,4.20,4.20,4.20,633
2014-09-10,4.20,4.20,4.20,4.20,667
2014-09-11,4.20,4.20,4.20,4.20,0
2014-09-12,4.20,4.20,4.20,4.20,933
2014-09-15,4.20,4.50,4.20,4.50,720
2014-09-16,5.40,5.70,5.40,5.40,3033
2014-09-17,5.40,5.40,5.40,5.40,0
2014-09-18,4.50,4.50,4.50,4.50,200
2014-09-19,4.20,4.20,4.20,4.20,97
2014-09-22,4.20,4.20,4.20,4.20,270
2014-09-23,3.90,3.90,3.90,3.90,233
2014-09-24,4.20,4.20,4.20,4.20,1000
2014-09-25,4.20,4.20,4.20,4.20,0
2014-09-26,3.90,3.90,3.90,3.90,33
2014-09-29,3.90,3.90,3.90,3.90,0
2014-09-30,4.20,4.20,4.20,4.20,1677
2014-10-01,3.90,3.90,3.90,3.90,667
2014-10-02,3.90,3.90,3.90,3.90,0
2014-10-03,3.90,3.90,3.90,3.90,0
2014-10-06,3.60,3.60,3.60,3.60,23
2014-10-07,3.60,3.60,3.60,3.60,0
2014-10-08,3.60,3.60,3.60,3.60,187
2014-10-09,3.60,3.60,3.60,3.60,0
2014-10-10,3.60,3.60,3.60,3.60,0
2014-10-14,3.60,3.60,3.60,3.60,0
2014-10-15,3.60,3.90,3.60,3.90,5840
2014-10-16,4.20,5.40,4.20,5.40,2477
2014-10-17,5.40,5.40,5.40,5.40,500
2014-10-20,5.10,5.10,4.80,4.80,347
2014-10-21,4.80,4.80,4.50,4.50,203
2014-10-22,4.20,4.20,4.20,4.20,643
2014-10-23,4.20,4.20,3.60,3.90,653
2014-10-24,3.90,3.90,3.90,3.90,0
