Date,Open,High,Low,Close,Volume
2000-08-10,6.31,7.16,6.13,7.16,143929200
2000-08-11,6.84,7.28,6.75,7.14,25139200
2000-08-14,7.03,7.22,7.00,7.11,6935200
2000-08-15,7.11,7.36,7.02,7.14,9078800
2000-08-16,7.20,7.50,7.13,7.33,11728000
2000-08-17,7.39,7.78,7.36,7.69,7148000
2000-08-18,7.75,7.75,7.00,7.25,8824800
2000-08-21,7.25,7.31,7.09,7.28,6075200
2000-08-22,7.31,7.36,7.22,7.36,5407600
2000-08-23,7.34,7.53,7.28,7.53,7268400
2000-08-24,7.42,7.47,7.36,7.38,5224400
2000-08-25,7.45,7.56,7.38,7.56,2186800
2000-08-28,7.59,7.59,7.45,7.53,2670800
2000-08-29,7.48,7.78,7.47,7.78,6166400
2000-08-30,7.75,8.25,7.75,8.06,8611200
2000-08-31,8.08,8.08,7.88,7.95,4484400
2000-09-01,7.92,7.92,7.78,7.80,5405600
2000-09-05,7.77,7.86,7.70,7.84,3062400
2000-09-06,7.91,8.38,7.91,8.25,6776000
2000-09-07,8.38,8.52,8.19,8.34,5206800
2000-09-08,8.34,8.34,8.08,8.19,5362800
2000-09-11,8.09,8.44,8.02,8.33,6394400
2000-09-12,8.19,8.28,8.05,8.05,7189200
2000-09-13,8.03,8.05,7.70,7.72,5692400
2000-09-14,7.88,7.91,7.55,7.59,6436000
2000-09-15,7.52,7.83,7.45,7.56,4436400
2000-09-18,7.45,7.66,7.27,7.34,3819200
2000-09-19,7.34,7.45,7.28,7.39,3072400
2000-09-20,7.48,7.66,7.47,7.53,6325200
2000-09-21,7.55,7.55,7.28,7.33,3255600
2000-09-22,7.25,7.31,7.00,7.25,4007200
2000-09-25,7.23,7.44,7.19,7.36,3151600
2000-09-26,7.34,7.63,7.31,7.58,1533600
2000-09-27,7.69,7.72,7.52,7.55,4248800
2000-09-28,7.58,7.59,7.44,7.50,4384800
2000-09-29,7.50,7.52,7.47,7.52,2407600
2000-10-02,7.52,7.59,7.48,7.53,3382400
2000-10-03,7.59,7.61,7.50,7.58,2693600
2000-10-04,7.55,7.61,7.48,7.58,1054000
2000-10-05,7.58,7.61,7.50,7.61,4484000
2000-10-06,7.61,7.61,7.34,7.44,2583600
2000-10-09,7.42,7.50,7.31,7.50,1610800
2000-10-10,7.47,7.72,7.45,7.63,4442000
2000-10-11,7.66,7.78,7.58,7.63,4415200
2000-10-12,7.69,8.20,7.66,7.95,5707200
2000-10-13,7.75,7.89,7.66,7.73,2770000
2000-10-16,7.67,7.67,7.45,7.50,2358000
2000-10-17,7.50,7.50,7.22,7.27,2868000
2000-10-18,7.09,7.34,7.00,7.34,9335600
2000-10-19,7.36,7.48,7.31,7.44,4136000
2000-10-20,7.39,7.41,7.22,7.28,3190000
2000-10-23,7.17,7.22,6.98,7.00,2953200
2000-10-24,6.94,6.98,6.64,6.75,6871200
2000-10-25,6.55,6.72,6.50,6.58,4284000
2000-10-26,6.52,7.03,6.52,7.00,4966400
2000-10-27,7.02,7.16,6.97,7.09,5050400
2000-10-30,6.97,7.33,6.95,7.19,2144800
2000-10-31,7.36,7.38,7.22,7.27,2072400
2000-11-01,7.19,7.41,7.19,7.34,2196400
2000-11-02,7.34,7.47,7.27,7.27,613200
2000-11-03,7.16,7.25,7.03,7.06,2234400
2000-11-06,7.06,7.23,7.05,7.14,898800
2000-11-07,7.06,7.31,7.03,7.27,1193200
2000-11-08,7.36,7.36,7.13,7.13,2472400
2000-11-09,7.08,7.13,6.94,7.00,3443200
2000-11-10,6.95,7.09,6.92,6.94,2756000
2000-11-13,6.84,7.03,6.84,6.98,3948400
2000-11-14,7.08,7.16,7.05,7.06,2870400
2000-11-15,7.09,7.13,7.00,7.11,1294400
2000-11-16,7.06,7.34,7.06,7.34,2372000
2000-11-17,7.19,7.34,7.03,7.08,2003600
2000-11-20,7.06,7.20,7.02,7.20,1155200
2000-11-21,7.14,7.39,7.13,7.34,2858000
