"Date","Price","Open","High","Low","Vol.","Change %"
"01/13/2026","5.860","5.970","6.060","5.850","9.74M","-0.17%"
"01/12/2026","5.870","5.790","6.050","5.760","9.18M","3.89%"
"01/09/2026","5.650","5.690","5.775","5.555","6.81M","1.07%"
"01/08/2026","5.590","5.550","5.650","5.500","6.55M","-3.95%"
"01/07/2026","5.820","5.580","5.820","5.500","5.49M","-1.36%"
"01/06/2026","5.900","5.680","5.920","5.680","5.72M","5.17%"
"01/05/2026","5.610","5.620","5.850","5.590","7.26M","1.63%"
"01/02/2026","5.520","5.630","5.670","5.340","6.91M","0.91%"
"12/31/2025","5.470","5.490","5.650","5.460","5.12M","-3.01%"
"12/30/2025","5.640","5.680","5.810","5.600","5.40M","2.55%"
"12/29/2025","5.500","5.530","5.680","5.430","10.13M","-7.09%"
"12/26/2025","5.920","5.780","5.920","5.660","6.81M","4.41%"
"12/24/2025","5.670","5.720","5.755","5.545","3.50M","-1.73%"
"12/23/2025","5.770","5.900","5.950","5.620","7.23M","-0.17%"
"12/22/2025","5.780","5.555","5.820","5.455","8.42M","7.64%"
"12/19/2025","5.370","5.150","5.420","5.120","8.53M","5.29%"
"12/18/2025","5.100","5.180","5.320","5.090","4.40M","-1.73%"
"12/17/2025","5.190","5.300","5.310","5.100","4.42M","0.78%"
"12/16/2025","5.150","5.130","5.255","5.040","5.70M","0.00%"
"12/15/2025","5.150","5.420","5.440","5.105","3.85M","-0.58%"
"12/12/2025","5.180","5.600","5.610","4.990","7.39M","-3.36%"
"12/11/2025","5.360","5.330","5.490","5.230","6.87M","1.71%"
"12/10/2025","5.270","5.240","5.310","5.000","9.91M","1.54%"
"12/09/2025","5.190","5.050","5.295","5.010","7.58M","4.01%"
"12/08/2025","4.990","4.960","5.085","4.850","6.05M","-0.40%"
"12/05/2025","5.010","5.030","5.120","4.950","3.82M","1.21%"
"12/04/2025","4.950","4.890","4.960","4.770","3.16M","-0.20%"
"12/03/2025","4.960","5.100","5.180","4.940","3.80M","-2.36%"
"12/02/2025","5.080","5.090","5.140","4.870","4.77M","-0.20%"
"12/01/2025","5.090","5.260","5.280","5.010","10.73M","0.39%"
"11/28/2025","5.070","4.780","5.080","4.740","7.39M","9.74%"
"11/26/2025","4.620","4.550","4.665","4.470","5.76M","4.05%"
"11/25/2025","4.440","4.350","4.490","4.325","6.66M","3.50%"
"11/24/2025","4.290","4.100","4.320","4.065","8.62M","6.45%"
"11/21/2025","4.030","3.950","4.030","3.860","13.74M","1.00%"
"11/20/2025","3.990","4.030","4.170","3.960","58.04M","-14.56%"
"11/19/2025","4.670","4.670","4.780","4.555","5.39M","2.86%"
"11/18/2025","4.540","4.620","4.630","4.414","2.29M","0.44%"
"11/17/2025","4.520","4.590","4.680","4.520","3.39M","-1.74%"
"11/14/2025","4.600","4.360","4.650","4.320","2.76M","-1.71%"
"11/13/2025","4.680","4.850","4.870","4.605","4.32M","-1.27%"
"11/12/2025","4.740","4.500","4.840","4.420","7.22M","12.32%"
