Date,Open,High,Low,Close,Volume
2026-02-11,7.63,7.90,7.28,7.56,49198900
2026-02-10,8.00,8.15,7.64,7.66,45953200
2026-02-09,7.85,8.47,7.78,8.06,67741600
2026-02-06,7.23,8.39,7.12,8.24,82353100
2026-02-05,7.80,8.04,6.66,6.73,80158300
2026-02-04,8.92,8.99,7.90,8.28,54008100
2026-02-03,9.23,9.55,8.51,9.05,53722600
2026-02-02,9.18,9.44,8.91,9.12,48414800
2026-01-30,9.75,9.83,9.32,9.50,37390600
2026-01-29,10.11,10.27,9.60,9.86,39218800
2026-01-28,10.71,10.79,10.24,10.37,36791300
2026-01-27,10.05,10.60,9.90,10.52,38581200
2026-01-26,10.38,10.39,9.88,9.98,39545100
2026-01-23,10.26,10.99,9.99,10.50,46881200
2026-01-22,10.61,10.81,10.14,10.29,42011200
2026-01-21,10.51,11.22,10.23,10.56,43023400
2026-01-20,10.81,10.95,10.22,10.37,45896100
2026-01-16,10.69,11.57,10.59,11.36,51948100
2026-01-15,11.12,11.25,10.64,10.66,47808200
2026-01-14,11.18,11.46,10.89,11.11,56484300
2026-01-13,10.90,11.07,10.61,10.95,43133400
2026-01-12,10.22,10.85,10.16,10.65,38514000
2026-01-09,10.53,10.58,10.07,10.22,32172700
2026-01-08,9.90,10.68,9.83,10.44,31093100
2026-01-07,10.29,10.32,9.82,10.08,32215400
2026-01-06,10.63,10.69,9.97,10.31,34062500
2026-01-05,10.37,10.73,10.21,10.59,40202100
2026-01-02,9.19,9.99,9.03,9.91,45408000
2025-12-31,9.35,9.38,8.95,8.98,30543600
2025-12-30,9.52,9.67,9.31,9.33,28454800
2025-12-29,9.47,9.85,9.37,9.49,29561200
2025-12-26,9.97,9.97,9.43,9.59,28503100
2025-12-24,9.81,9.94,9.69,9.94,13168600
2025-12-23,9.99,10.06,9.69,9.86,32302300
2025-12-22,10.41,10.69,10.00,10.13,35379800
2025-12-19,9.90,10.22,9.89,10.18,57068100
2025-12-18,10.20,10.37,9.61,9.69,46078300
2025-12-17,10.78,10.95,9.92,9.93,49404000
2025-12-16,10.77,11.05,10.50,10.69,39827400
2025-12-15,11.48,11.51,10.58,10.70,44712700
2025-12-12,11.81,12.26,11.36,11.52,42717300
2025-12-11,11.59,11.86,11.17,11.84,44290800
2025-12-10,12.06,12.34,11.77,11.92,37825600
2025-12-09,11.87,12.87,11.76,12.25,42518200
2025-12-08,12.03,12.12,11.56,12.05,33653800
2025-12-05,12.20,12.20,11.63,11.74,37605500
2025-12-04,12.33,12.59,12.12,12.44,32405800
2025-12-03,12.06,12.54,11.80,12.47,42574500
2025-12-02,11.98,12.42,11.70,11.91,46125200
2025-12-01,11.08,11.65,10.62,11.52,47151600
2025-11-28,11.74,11.98,11.54,11.81,31835100
2025-11-26,11.32,11.52,10.90,11.11,49739500
2025-11-25,10.90,11.24,10.63,11.17,39384500
2025-11-24,10.38,11.28,10.12,11.21,53592200
2025-11-21,10.12,10.48,9.71,10.07,56525100
2025-11-20,11.48,11.74,10.21,10.24,55553200
2025-11-19,11.87,11.89,10.84,11.10,51758900
2025-11-18,11.41,12.12,11.36,11.88,49781500
2025-11-17,12.02,12.27,11.10,11.51,53541900
2025-11-14,12.39,12.69,11.96,11.99,49802900
2025-11-13,14.25,14.28,12.68,12.78,53568200
2025-11-12,14.96,14.98,13.98,14.41,41649900
2025-11-11,15.27,15.32,14.49,14.63,50681700
2025-11-10,16.56,16.62,15.56,15.58,37135400
2025-11-07,15.39,15.89,14.81,15.87,51496900
2025-11-06,17.00,17.06,15.93,15.96,40692300
2025-11-05,17.22,18.04,17.07,17.13,43786400
2025-11-04,17.48,17.91,16.54,16.62,51710300
2025-11-03,18.61,18.69,17.41,17.81,38632000
2025-10-31,18.30,18.39,17.65,18.27,33419500
2025-10-30,18.47,18.68,17.76,17.76,34392400
2025-10-29,19.04,19.27,18.15,18.88,33793300
2025-10-28,19.63,20.29,18.67,18.88,40462100
2025-10-27,20.37,20.47,19.54,19.56,34113000
2025-10-24,19.78,20.04,19.20,19.54,30810100
2025-10-23,19.33,19.92,19.13,19.22,32710100
2025-10-22,19.57,20.02,18.39,19.15,41372900
2025-10-21,20.37,21.04,19.66,20.07,40022600
2025-10-20,20.55,22.09,20.11,20.73,49220200
2025-10-17,19.57,20.18,19.00,19.57,49863700
2025-10-16,23.16,23.16,19.90,20.27,63827700
2025-10-15,22.70,23.45,22.22,22.84,58503700
2025-10-14,19.37,22.98,19.00,22.24,72225900
2025-10-13,19.34,20.60,18.98,20.24,42343600
2025-10-10,20.76,22.06,18.18,18.65,80366600
2025-10-09,20.33,20.66,19.43,20.20,49472600
2025-10-08,20.42,20.97,20.03,20.20,50170500
2025-10-07,20.70,20.93,19.12,20.25,56239900
