Date,Open,High,Low,Close,Volume
30 Luglio 2009,7.00,7.68,6.81,7.09,4187100
31 Luglio 2009,7.10,7.50,6.96,7.20,251800
3 Agosto 2009,7.25,8.00,7.25,8.00,305000
4 Agosto 2009,8.00,8.16,7.37,7.76,335900
5 Agosto 2009,7.73,8.87,7.50,8.86,367500
6 Agosto 2009,8.80,8.80,7.95,7.97,356000
7 Agosto 2009,8.00,8.39,8.00,8.30,182100
10 Agosto 2009,8.30,8.30,7.65,8.00,119700
11 Agosto 2009,7.90,8.00,7.66,7.76,74900
12 Agosto 2009,7.70,8.05,7.55,7.92,161600
13 Agosto 2009,7.80,8.25,7.80,8.17,150300
14 Agosto 2009,8.22,8.30,8.10,8.23,36700
17 Agosto 2009,8.03,8.30,8.00,8.04,61700
18 Agosto 2009,8.01,8.20,8.00,8.14,34500
19 Agosto 2009,8.13,8.30,7.86,8.20,52200
20 Agosto 2009,8.25,8.30,8.00,8.11,217800
21 Agosto 2009,8.22,8.35,8.11,8.30,67000
24 Agosto 2009,8.30,8.49,8.15,8.15,31300
25 Agosto 2009,8.14,8.25,7.87,7.93,72300
26 Agosto 2009,7.97,8.15,7.83,8.15,62300
27 Agosto 2009,8.55,8.55,8.16,8.17,140400
28 Agosto 2009,8.15,8.44,7.96,8.10,126300
31 Agosto 2009,7.98,8.30,7.69,8.19,55900
1 Settembre 2009,7.92,8.10,7.87,7.90,65000
2 Settembre 2009,7.81,8.05,7.80,7.93,84200
3 Settembre 2009,7.92,8.04,7.65,7.96,130400
4 Settembre 2009,7.97,8.20,7.95,8.01,49800
8 Settembre 2009,8.32,8.39,8.01,8.15,152000
9 Settembre 2009,8.20,8.20,8.06,8.14,56100
10 Settembre 2009,8.17,8.39,8.01,8.25,43800
11 Settembre 2009,8.25,8.52,8.25,8.45,95100
14 Settembre 2009,8.36,8.44,8.06,8.29,73600
15 Settembre 2009,8.30,8.30,8.18,8.30,101900
16 Settembre 2009,8.27,8.30,8.00,8.16,111400
17 Settembre 2009,8.16,8.55,7.90,8.35,222200
18 Settembre 2009,8.55,8.55,8.04,8.33,107000
21 Settembre 2009,8.26,8.39,7.85,8.20,52700
22 Settembre 2009,8.43,8.54,8.01,8.54,61400
23 Settembre 2009,8.53,8.59,8.25,8.59,111400
