Date,Open,High,Low,Close,Volume
25 Luglio 2008,1.90,1.93,1.89,1.93,16200
28 Luglio 2008,1.91,1.95,1.88,1.88,17000
29 Luglio 2008,1.81,1.96,1.81,1.81,20800
30 Luglio 2008,1.80,1.83,1.77,1.77,13600
31 Luglio 2008,1.77,1.86,1.77,1.86,18100
1 Agosto 2008,1.70,1.80,1.70,1.71,60900
4 Agosto 2008,1.54,1.85,1.54,1.81,22200
5 Agosto 2008,1.64,1.65,1.57,1.63,81900
6 Agosto 2008,1.70,1.70,1.52,1.63,25600
7 Agosto 2008,1.56,1.59,1.50,1.51,8100
8 Agosto 2008,1.50,1.50,1.43,1.45,11200
11 Agosto 2008,1.44,1.44,1.31,1.33,274100
12 Agosto 2008,1.30,1.36,1.20,1.22,130500
13 Agosto 2008,1.39,1.80,1.32,1.62,98800
14 Agosto 2008,1.71,1.71,1.50,1.53,49900
15 Agosto 2008,1.41,1.50,1.41,1.45,22100
18 Agosto 2008,1.45,1.53,1.35,1.37,17700
19 Agosto 2008,1.41,1.47,1.38,1.47,24700
20 Agosto 2008,1.45,1.51,1.43,1.43,56900
21 Agosto 2008,1.45,1.48,1.43,1.48,51600
22 Agosto 2008,1.63,1.63,1.42,1.42,11900
25 Agosto 2008,1.28,1.48,1.28,1.44,8700
26 Agosto 2008,1.49,1.49,1.42,1.43,16100
27 Agosto 2008,1.38,1.43,1.38,1.43,8300
28 Agosto 2008,1.47,1.53,1.44,1.47,72200
29 Agosto 2008,1.49,1.52,1.47,1.47,14100
2 Settembre 2008,1.43,1.43,1.35,1.38,32000
3 Settembre 2008,1.38,1.42,1.30,1.36,25000
4 Settembre 2008,1.30,1.39,1.27,1.29,23500
5 Settembre 2008,1.25,1.28,1.23,1.25,143500
8 Settembre 2008,1.35,1.35,1.23,1.24,58200
9 Settembre 2008,1.24,1.24,1.09,1.14,100400
10 Settembre 2008,1.02,1.21,0.82,0.93,553100
11 Settembre 2008,0.97,1.05,0.83,0.87,203100
12 Settembre 2008,0.91,1.02,0.89,0.96,67400
15 Settembre 2008,0.94,1.00,0.84,0.85,92700
16 Settembre 2008,0.81,0.81,0.74,0.76,171400
17 Settembre 2008,0.76,0.78,0.70,0.78,131500
18 Settembre 2008,0.79,0.91,0.68,0.72,291000
19 Settembre 2008,0.80,0.89,0.75,0.84,239700
22 Settembre 2008,0.87,0.87,0.77,0.80,130600
23 Settembre 2008,0.80,0.83,0.75,0.83,241000
24 Settembre 2008,0.95,0.95,0.76,0.76,72100
25 Settembre 2008,0.78,0.80,0.71,0.75,178200
26 Settembre 2008,0.75,0.75,0.67,0.69,90900
29 Settembre 2008,0.69,0.70,0.55,0.59,214000
30 Settembre 2008,0.58,0.63,0.56,0.63,275000
1 Ottobre 2008,0.65,0.65,0.59,0.61,268700
2 Ottobre 2008,0.60,0.62,0.53,0.54,128300
3 Ottobre 2008,0.53,0.56,0.50,0.55,175700
6 Ottobre 2008,0.52,0.53,0.40,0.45,473500
7 Ottobre 2008,0.45,0.46,0.38,0.39,128500
8 Ottobre 2008,0.40,0.41,0.35,0.38,1103600
9 Ottobre 2008,0.38,0.40,0.35,0.39,1202000
10 Ottobre 2008,0.37,0.37,0.30,0.37,153900
13 Ottobre 2008,0.37,0.47,0.37,0.44,179700
14 Ottobre 2008,0.45,0.45,0.34,0.35,629200
15 Ottobre 2008,0.38,0.38,0.30,0.30,117200
16 Ottobre 2008,0.34,0.40,0.29,0.38,808500
17 Ottobre 2008,0.38,0.41,0.33,0.35,336000
20 Ottobre 2008,0.36,0.38,0.35,0.36,572500
21 Ottobre 2008,0.36,0.36,0.32,0.33,296700
22 Ottobre 2008,0.33,0.34,0.30,0.30,138000
23 Ottobre 2008,0.33,0.33,0.29,0.30,67700
24 Ottobre 2008,0.30,0.32,0.28,0.30,83800
27 Ottobre 2008,0.31,0.32,0.28,0.29,180900
28 Ottobre 2008,0.29,0.32,0.29,0.30,221200
29 Ottobre 2008,0.33,0.39,0.33,0.39,99900
30 Ottobre 2008,0.40,0.41,0.38,0.39,242400
31 Ottobre 2008,0.42,0.54,0.42,0.52,165700
3 Novembre 2008,0.48,0.50,0.47,0.48,135900
4 Novembre 2008,0.50,0.54,0.46,0.48,345600
5 Novembre 2008,0.49,0.60,0.49,0.52,712400
6 Novembre 2008,0.53,0.75,0.52,0.54,719700
7 Novembre 2008,0.57,0.60,0.57,0.59,21900
10 Novembre 2008,0.58,0.65,0.56,0.61,190600
11 Novembre 2008,0.53,0.55,0.49,0.54,96400
12 Novembre 2008,0.51,0.52,0.47,0.52,130300
13 Novembre 2008,0.50,0.55,0.45,0.51,156600
14 Novembre 2008,0.54,0.54,0.48,0.49,105900
17 Novembre 2008,0.45,0.49,0.43,0.46,197500
18 Novembre 2008,0.44,0.46,0.39,0.42,132300
19 Novembre 2008,0.42,0.42,0.39,0.39,111700
20 Novembre 2008,0.40,0.40,0.35,0.39,308500
21 Novembre 2008,0.39,0.39,0.35,0.39,91400
24 Novembre 2008,0.37,0.58,0.37,0.55,219400
25 Novembre 2008,0.54,0.55,0.49,0.55,54400
26 Novembre 2008,0.52,0.55,0.46,0.55,154100
28 Novembre 2008,0.55,0.55,0.50,0.51,154300
1 Dicembre 2008,0.51,0.55,0.51,0.55,65600
2 Dicembre 2008,0.55,0.59,0.55,0.56,30000
3 Dicembre 2008,0.59,0.59,0.52,0.57,132400
4 Dicembre 2008,0.57,0.57,0.53,0.53,14800
5 Dicembre 2008,0.50,0.53,0.48,0.53,181700
8 Dicembre 2008,0.46,0.57,0.46,0.49,84400
9 Dicembre 2008,0.49,0.50,0.43,0.43,178800
10 Dicembre 2008,0.42,0.47,0.41,0.46,95100
11 Dicembre 2008,0.48,0.50,0.42,0.42,73500
12 Dicembre 2008,0.43,0.45,0.38,0.39,364100
15 Dicembre 2008,0.40,0.44,0.40,0.40,161700
16 Dicembre 2008,0.42,0.42,0.40,0.42,208500
17 Dicembre 2008,0.40,0.44,0.40,0.41,122100
18 Dicembre 2008,0.42,0.46,0.41,0.44,121000
19 Dicembre 2008,0.45,0.48,0.43,0.48,106000
22 Dicembre 2008,0.48,0.50,0.44,0.48,287200
23 Dicembre 2008,0.45,0.49,0.44,0.49,160200
24 Dicembre 2008,0.49,0.55,0.49,0.53,307900
26 Dicembre 2008,0.53,0.57,0.50,0.53,12300
29 Dicembre 2008,0.53,0.57,0.50,0.50,39900
30 Dicembre 2008,0.54,0.58,0.51,0.54,72300
31 Dicembre 2008,0.56,0.59,0.52,0.58,85500
2 Gennaio 2009,0.59,0.74,0.56,0.67,90500
5 Gennaio 2009,0.67,0.76,0.65,0.69,289600
6 Gennaio 2009,0.70,0.77,0.68,0.70,314500
7 Gennaio 2009,0.73,0.73,0.66,0.69,164500
8 Gennaio 2009,0.67,0.70,0.64,0.70,44400
9 Gennaio 2009,0.70,0.70,0.66,0.69,43700
12 Gennaio 2009,0.66,0.69,0.63,0.64,130600
13 Gennaio 2009,0.64,0.67,0.62,0.67,46900
14 Gennaio 2009,0.67,0.67,0.61,0.63,62500
15 Gennaio 2009,0.60,0.63,0.56,0.58,258300
16 Gennaio 2009,0.58,0.62,0.58,0.59,22100
20 Gennaio 2009,0.59,0.64,0.59,0.62,117500
21 Gennaio 2009,0.65,0.65,0.59,0.59,118800
22 Gennaio 2009,0.59,0.60,0.58,0.60,6200
23 Gennaio 2009,0.59,0.65,0.59,0.59,91900
26 Gennaio 2009,0.61,0.62,0.60,0.61,92900
27 Gennaio 2009,0.62,0.63,0.58,0.62,111800
28 Gennaio 2009,0.63,0.67,0.63,0.63,164400
29 Gennaio 2009,0.64,0.64,0.62,0.63,16400
30 Gennaio 2009,0.63,0.65,0.60,0.63,49200
2 Febbraio 2009,0.60,0.60,0.59,0.59,109000
3 Febbraio 2009,0.58,0.60,0.57,0.58,95100
4 Febbraio 2009,0.59,0.59,0.56,0.56,89900
5 Febbraio 2009,0.58,0.60,0.56,0.58,25000
6 Febbraio 2009,0.58,0.60,0.56,0.60,269000
9 Febbraio 2009,0.58,0.58,0.57,0.57,119900
10 Febbraio 2009,0.58,0.60,0.57,0.57,48700
11 Febbraio 2009,0.60,0.60,0.59,0.60,65300
12 Febbraio 2009,0.60,0.60,0.57,0.58,20400
13 Febbraio 2009,0.53,0.58,0.53,0.57,39900
17 Febbraio 2009,0.57,0.57,0.54,0.55,150300
18 Febbraio 2009,0.55,0.55,0.49,0.49,193500
19 Febbraio 2009,0.50,0.53,0.50,0.52,216400
20 Febbraio 2009,0.55,0.55,0.50,0.51,75700
23 Febbraio 2009,0.51,0.52,0.50,0.51,72100
24 Febbraio 2009,0.51,0.53,0.50,0.52,131000
25 Febbraio 2009,0.52,0.53,0.50,0.52,146300
26 Febbraio 2009,0.49,0.54,0.49,0.54,16400
27 Febbraio 2009,0.52,0.55,0.52,0.55,65300
2 Marzo 2009,0.55,0.55,0.50,0.50,40100
3 Marzo 2009,0.50,0.53,0.49,0.53,165400
4 Marzo 2009,0.53,0.55,0.51,0.53,90700
5 Marzo 2009,0.50,0.54,0.50,0.54,26200
6 Marzo 2009,0.52,0.52,0.49,0.50,102800
9 Marzo 2009,0.47,0.50,0.47,0.47,66700
10 Marzo 2009,0.46,0.51,0.46,0.51,7000
11 Marzo 2009,0.52,0.52,0.49,0.50,3600
12 Marzo 2009,0.50,0.52,0.50,0.51,25800
13 Marzo 2009,0.51,0.54,0.51,0.54,63300
16 Marzo 2009,0.56,0.56,0.51,0.52,68100
17 Marzo 2009,0.52,0.52,0.50,0.52,33000
18 Marzo 2009,0.51,0.51,0.49,0.50,183800
19 Marzo 2009,0.53,0.54,0.51,0.52,108800
20 Marzo 2009,0.53,0.53,0.46,0.48,308300
23 Marzo 2009,0.50,0.51,0.49,0.50,55100
24 Marzo 2009,0.51,0.51,0.49,0.51,163500
25 Marzo 2009,0.51,0.55,0.51,0.55,324300
26 Marzo 2009,0.55,0.56,0.54,0.56,554000
27 Marzo 2009,0.54,0.55,0.53,0.55,45400
30 Marzo 2009,0.55,0.55,0.51,0.51,11600
31 Marzo 2009,0.51,0.54,0.51,0.53,120500
1 Aprile 2009,0.52,0.56,0.52,0.55,66700
2 Aprile 2009,0.55,0.60,0.55,0.59,214900
3 Aprile 2009,0.59,0.60,0.57,0.57,9100
6 Aprile 2009,0.60,0.60,0.54,0.56,34000
7 Aprile 2009,0.54,0.56,0.53,0.53,40700
8 Aprile 2009,0.55,0.56,0.55,0.55,6100
9 Aprile 2009,0.56,0.58,0.55,0.57,97700
13 Aprile 2009,0.58,0.59,0.55,0.57,169500
14 Aprile 2009,0.56,0.66,0.56,0.63,193600
15 Aprile 2009,0.67,0.70,0.65,0.65,113000
16 Aprile 2009,0.68,0.75,0.66,0.71,158400
17 Aprile 2009,0.69,0.74,0.68,0.68,105500
20 Aprile 2009,0.67,0.68,0.58,0.59,135700
21 Aprile 2009,0.59,0.65,0.58,0.62,163600
22 Aprile 2009,0.64,0.68,0.63,0.67,172700
23 Aprile 2009,0.70,0.75,0.69,0.75,231900
24 Aprile 2009,0.72,0.89,0.72,0.82,301400
27 Aprile 2009,0.82,0.99,0.82,0.93,543400
28 Aprile 2009,0.92,0.94,0.87,0.88,92200
29 Aprile 2009,0.90,1.00,0.90,0.95,562900
30 Aprile 2009,1.00,1.03,0.85,0.87,873200
1 Maggio 2009,0.86,0.96,0.86,0.95,189400
4 Maggio 2009,1.00,1.05,0.99,1.04,321900
5 Maggio 2009,1.05,1.05,0.95,0.98,77000
6 Maggio 2009,1.00,1.05,0.99,1.04,274300
7 Maggio 2009,1.08,1.08,0.99,1.00,523200
8 Maggio 2009,1.00,1.04,0.99,1.04,90900
11 Maggio 2009,1.03,1.08,1.00,1.08,107900
12 Maggio 2009,1.10,1.18,1.09,1.15,1024400
13 Maggio 2009,1.13,1.18,1.00,1.03,185900
14 Maggio 2009,1.03,1.04,1.00,1.03,384500
15 Maggio 2009,1.03,1.04,0.99,0.99,112100
18 Maggio 2009,0.99,1.08,0.99,0.99,34900
19 Maggio 2009,1.02,1.11,1.02,1.09,104600
20 Maggio 2009,1.10,1.15,1.08,1.09,134600
21 Maggio 2009,1.07,1.09,1.06,1.06,15300
22 Maggio 2009,1.06,1.08,1.05,1.05,54700
26 Maggio 2009,1.02,1.06,1.01,1.01,217400
27 Maggio 2009,1.02,1.03,0.93,0.94,225900
28 Maggio 2009,0.96,1.04,0.96,1.04,82100
29 Maggio 2009,1.14,1.14,1.02,1.10,180100
1 Giugno 2009,1.11,1.11,1.07,1.09,175500
2 Giugno 2009,1.15,1.15,1.08,1.09,63800
3 Giugno 2009,1.07,1.08,1.00,1.04,57200
4 Giugno 2009,1.00,1.07,1.00,1.05,77200
5 Giugno 2009,1.04,1.04,1.01,1.02,44100
8 Giugno 2009,1.02,1.02,0.97,1.00,91500
9 Giugno 2009,1.01,1.01,0.98,1.01,156300
10 Giugno 2009,1.01,1.01,0.97,0.97,104200
11 Giugno 2009,1.00,1.01,0.97,1.00,139400
12 Giugno 2009,1.05,1.12,0.94,0.99,131800
15 Giugno 2009,1.02,1.02,0.93,0.93,40000
16 Giugno 2009,0.95,0.97,0.88,0.89,138700
17 Giugno 2009,0.87,0.90,0.83,0.83,145700
18 Giugno 2009,0.84,0.85,0.80,0.80,160800
19 Giugno 2009,0.81,0.82,0.81,0.81,97600
22 Giugno 2009,0.80,0.80,0.73,0.73,301600
23 Giugno 2009,0.72,0.77,0.71,0.75,241400
24 Giugno 2009,0.76,0.79,0.76,0.77,49900
25 Giugno 2009,0.77,0.85,0.77,0.84,107300
26 Giugno 2009,0.84,0.84,0.81,0.82,18300
29 Giugno 2009,0.81,0.82,0.80,0.81,26500
30 Giugno 2009,0.80,0.81,0.75,0.79,178000
1 Luglio 2009,0.80,0.87,0.80,0.87,69200
2 Luglio 2009,0.81,0.86,0.79,0.82,95000
6 Luglio 2009,0.80,0.84,0.80,0.84,46000
7 Luglio 2009,0.82,0.86,0.82,0.83,44900
8 Luglio 2009,0.81,0.84,0.80,0.80,79800
9 Luglio 2009,0.81,0.84,0.80,0.84,23000
10 Luglio 2009,0.82,0.84,0.82,0.84,59600
13 Luglio 2009,0.83,0.84,0.83,0.84,12000
14 Luglio 2009,0.85,0.90,0.85,0.90,26100
15 Luglio 2009,0.88,0.96,0.88,0.94,57000
16 Luglio 2009,0.94,0.98,0.91,0.94,35600
17 Luglio 2009,0.94,0.95,0.92,0.95,65300
20 Luglio 2009,0.95,0.97,0.95,0.95,21900
21 Luglio 2009,0.86,0.98,0.86,0.97,22500
22 Luglio 2009,0.95,0.95,0.91,0.91,12200
23 Luglio 2009,0.92,0.97,0.92,0.95,44000
24 Luglio 2009,0.95,0.95,0.92,0.94,10800
27 Luglio 2009,0.91,0.97,0.91,0.97,59400
28 Luglio 2009,0.96,0.96,0.92,0.92,91500
29 Luglio 2009,0.92,0.92,0.91,0.92,11200
30 Luglio 2009,0.92,0.97,0.92,0.93,23100
31 Luglio 2009,0.92,0.93,0.92,0.92,22800
3 Agosto 2009,0.93,0.94,0.93,0.93,11000
4 Agosto 2009,0.93,0.96,0.93,0.93,59000
5 Agosto 2009,0.95,0.95,0.93,0.93,36300
6 Agosto 2009,0.94,0.97,0.93,0.97,232800
7 Agosto 2009,0.94,1.05,0.87,1.01,363400
10 Agosto 2009,1.00,1.07,0.96,0.98,118700
11 Agosto 2009,0.96,1.00,0.92,0.94,70500
12 Agosto 2009,0.92,0.99,0.89,0.91,574300
13 Agosto 2009,0.92,0.94,0.91,0.93,44300
14 Agosto 2009,0.93,0.93,0.91,0.91,106600
17 Agosto 2009,0.90,0.90,0.86,0.86,215100
18 Agosto 2009,0.87,0.89,0.87,0.87,22800
19 Agosto 2009,0.87,0.87,0.86,0.87,32200
20 Agosto 2009,0.88,0.88,0.85,0.87,120000
21 Agosto 2009,0.87,0.89,0.87,0.88,118700
24 Agosto 2009,0.89,0.89,0.87,0.88,54900
25 Agosto 2009,0.89,0.89,0.83,0.83,83700
26 Agosto 2009,0.84,0.85,0.81,0.82,108600
27 Agosto 2009,0.83,0.85,0.81,0.83,45500
28 Agosto 2009,0.84,0.84,0.83,0.83,20500
31 Agosto 2009,0.85,0.85,0.81,0.84,102400
1 Settembre 2009,0.85,0.85,0.82,0.82,36300
2 Settembre 2009,0.82,0.85,0.81,0.81,181500
3 Settembre 2009,0.83,0.85,0.82,0.84,43200
4 Settembre 2009,0.84,0.86,0.83,0.86,134500
8 Settembre 2009,0.86,0.87,0.83,0.86,84100
9 Settembre 2009,0.85,0.86,0.83,0.84,27800
10 Settembre 2009,0.90,0.90,0.83,0.86,145000
11 Settembre 2009,0.84,0.87,0.84,0.87,104000
14 Settembre 2009,0.84,0.86,0.84,0.86,15700
15 Settembre 2009,0.84,0.88,0.84,0.88,122400
16 Settembre 2009,0.87,0.92,0.86,0.92,220500
17 Settembre 2009,0.92,0.95,0.86,0.87,255200
18 Settembre 2009,0.87,0.88,0.85,0.86,107700
21 Settembre 2009,0.85,0.86,0.83,0.84,56100
22 Settembre 2009,0.86,0.90,0.85,0.88,32900
23 Settembre 2009,0.86,0.91,0.86,0.90,115300
24 Settembre 2009,0.89,0.89,0.85,0.87,121800
25 Settembre 2009,0.86,0.90,0.85,0.88,768100
28 Settembre 2009,0.89,0.89,0.87,0.88,70100
29 Settembre 2009,0.88,0.88,0.86,0.86,69800
30 Settembre 2009,0.87,0.88,0.86,0.86,24700
1 Ottobre 2009,0.85,0.86,0.83,0.83,102600
2 Ottobre 2009,0.82,0.83,0.80,0.81,138000
5 Ottobre 2009,0.78,0.85,0.78,0.85,19900
6 Ottobre 2009,0.85,0.90,0.84,0.87,101000
7 Ottobre 2009,0.88,0.93,0.86,0.93,103700
8 Ottobre 2009,0.94,0.99,0.94,0.99,228600
9 Ottobre 2009,1.00,1.00,0.96,0.97,47400
12 Ottobre 2009,0.97,0.98,0.91,0.93,37200
13 Ottobre 2009,0.99,0.99,0.96,0.98,132000
14 Ottobre 2009,0.99,1.00,0.97,0.99,130000
15 Ottobre 2009,0.98,0.98,0.95,0.95,6300
16 Ottobre 2009,0.95,0.97,0.93,0.94,33700
19 Ottobre 2009,0.93,0.95,0.93,0.93,27200
20 Ottobre 2009,0.92,0.99,0.92,0.98,114500
21 Ottobre 2009,0.98,0.99,0.96,0.98,410200
22 Ottobre 2009,0.98,0.98,0.96,0.96,18300
23 Ottobre 2009,0.95,0.95,0.93,0.94,10000
26 Ottobre 2009,0.95,0.95,0.87,0.89,160800
27 Ottobre 2009,0.89,0.89,0.87,0.88,35600
28 Ottobre 2009,0.88,0.88,0.82,0.83,71700
29 Ottobre 2009,0.83,0.87,0.83,0.84,47600
30 Ottobre 2009,0.84,0.86,0.81,0.84,48900
2 Novembre 2009,0.81,0.85,0.81,0.81,174700
3 Novembre 2009,0.81,0.85,0.81,0.83,35300
4 Novembre 2009,0.84,0.85,0.83,0.84,43700
5 Novembre 2009,0.85,0.87,0.85,0.85,62000
6 Novembre 2009,0.84,0.88,0.83,0.87,76400
9 Novembre 2009,0.88,0.89,0.86,0.87,131200
10 Novembre 2009,0.87,0.88,0.84,0.84,70800
11 Novembre 2009,0.84,0.84,0.80,0.82,93500
12 Novembre 2009,0.81,0.82,0.79,0.79,192100
13 Novembre 2009,0.79,0.82,0.78,0.81,131000
16 Novembre 2009,0.82,0.86,0.81,0.81,81800
17 Novembre 2009,0.80,0.80,0.77,0.79,40800
18 Novembre 2009,0.79,0.80,0.77,0.77,217100
19 Novembre 2009,0.76,0.77,0.75,0.77,184900
20 Novembre 2009,0.75,0.77,0.75,0.76,25900
23 Novembre 2009,0.77,0.79,0.74,0.76,116700
24 Novembre 2009,0.77,0.78,0.75,0.77,123200
25 Novembre 2009,0.75,0.79,0.75,0.77,247000
27 Novembre 2009,0.76,0.80,0.74,0.78,37300
30 Novembre 2009,0.78,0.80,0.77,0.80,89000
1 Dicembre 2009,0.61,0.84,0.61,0.83,116100
2 Dicembre 2009,0.82,0.83,0.78,0.80,57400
3 Dicembre 2009,0.79,0.81,0.78,0.80,38800
4 Dicembre 2009,0.80,0.81,0.79,0.79,43500
7 Dicembre 2009,0.79,0.81,0.78,0.80,15700
8 Dicembre 2009,0.79,0.79,0.78,0.79,63900
9 Dicembre 2009,0.78,0.79,0.78,0.78,37700
10 Dicembre 2009,0.79,0.80,0.76,0.76,94200
11 Dicembre 2009,0.78,0.78,0.77,0.77,31200
14 Dicembre 2009,0.78,0.80,0.78,0.80,26400
15 Dicembre 2009,0.79,0.79,0.77,0.78,10400
16 Dicembre 2009,0.80,0.80,0.77,0.79,101000
17 Dicembre 2009,0.78,0.78,0.76,0.76,62400
18 Dicembre 2009,0.76,0.78,0.75,0.75,51900
21 Dicembre 2009,0.75,0.78,0.75,0.76,72000
22 Dicembre 2009,0.76,0.76,0.75,0.75,41200
23 Dicembre 2009,0.75,0.78,0.75,0.77,18100
24 Dicembre 2009,0.78,0.79,0.76,0.76,40100
28 Dicembre 2009,0.76,0.76,0.75,0.75,31600
29 Dicembre 2009,0.76,0.77,0.75,0.75,127500
30 Dicembre 2009,0.76,0.77,0.76,0.77,21800
31 Dicembre 2009,0.76,0.78,0.76,0.77,44700
4 Gennaio 2010,0.80,0.80,0.78,0.79,12300
5 Gennaio 2010,0.78,0.87,0.78,0.86,126700
6 Gennaio 2010,0.89,0.91,0.88,0.90,103700
7 Gennaio 2010,0.89,0.91,0.88,0.91,30200
8 Gennaio 2010,0.89,0.92,0.87,0.92,59900
11 Gennaio 2010,0.92,0.94,0.92,0.92,77200
