ticker,currency,date,amount
AA,USD,2010-02-03,0.07209
EQT,USD,2010-02-10,0.11976
PBR,USD,2010-04-23,0.275
AA,USD,2010-05-05,0.07209
EQT,USD,2010-05-05,0.11976
PBR,USD,2010-05-24,0.22
PBR,USD,2010-08-02,0.227
AA,USD,2010-08-04,0.07209
EQT,USD,2010-08-04,0.11976
GSM,USD,2010-10-13,0.15
AA,USD,2010-11-03,0.07209
EQT,USD,2010-11-03,0.11976
PBR,USD,2010-11-03,0.162
PBR,USD,2010-12-22,0.239
AA,USD,2011-02-02,0.07209
EQT,USD,2011-02-02,0.11976
PBR,USD,2011-03-22,0.188
PBR,USD,2011-05-04,0.153
AA,USD,2011-05-12,0.07209
PBR,USD,2011-05-12,0.252
EQT,USD,2011-05-16,0.11976
AA,USD,2011-08-03,0.07209
EQT,USD,2011-08-03,0.11976
PBR,USD,2011-08-04,0.256
GSM,USD,2011-10-12,0.2
AA,USD,2011-11-02,0.07209
EQT,USD,2011-11-02,0.11976
PBR,USD,2011-11-14,0.235
HL,USD,2011-11-16,0.02
PBR,USD,2012-01-03,0.215
AA,USD,2012-02-01,0.07209
EQT,USD,2012-02-15,0.11976
HL,USD,2012-03-13,0.013
PBR,USD,2012-03-20,0.136
EQT,USD,2012-05-09,0.11976
AA,USD,2012-05-10,0.07209
PBR,USD,2012-05-14,0.209
HL,USD,2012-05-25,0.023
AA,USD,2012-08-01,0.07209
EQT,USD,2012-08-08,0.11976
HL,USD,2012-08-24,0.003
GSM,USD,2012-08-31,0.063
AA,USD,2012-10-31,0.07209
EQT,USD,2012-11-07,0.11976
GSM,USD,2012-11-16,0.063
HL,USD,2012-11-23,0.022
AA,USD,2013-02-06,0.07209
EQT,USD,2013-02-13,0.016331
GSM,USD,2013-03-13,0.063
HL,USD,2013-03-14,0.013
PBR,USD,2013-04-30,0.27
AA,USD,2013-05-09,0.07209
EQT,USD,2013-05-15,0.016331
HL,USD,2013-05-23,0.003
GSM,USD,2013-06-06,0.063
AA,USD,2013-08-07,0.07209
EQT,USD,2013-08-14,0.016331
HL,USD,2013-08-22,0.003
GSM,USD,2013-09-06,0.069
AA,USD,2013-11-06,0.07209
EQT,USD,2013-11-13,0.016331
HL,USD,2013-11-21,0.003
GSM,USD,2013-12-05,0.069
AA,USD,2014-02-05,0.07209
EQT,USD,2014-02-12,0.016331
GSM,USD,2014-02-24,0.075
HL,USD,2014-03-17,0.003
PBR,USD,2014-04-03,0.444
AA,USD,2014-05-08,0.07209
EQT,USD,2014-05-14,0.016331
HL,USD,2014-05-23,0.003
GSM,USD,2014-06-06,0.075
AA,USD,2014-08-06,0.07209
EQT,USD,2014-08-13,0.016331
