Date,Open,High,Low,Close,Volume
2026-02-06,58.02,60.04,57.82,59.16,5774100
2026-02-05,56.71,57.49,55.30,56.38,7568200
2026-02-04,61.80,62.06,56.97,58.16,10794300
2026-02-03,60.23,61.37,59.35,61.35,8386000
2026-02-02,56.80,58.60,56.31,58.21,9852300
2026-01-30,58.35,59.89,55.92,56.81,9187600
2026-01-29,63.05,63.54,59.11,60.64,8028900
2026-01-28,60.83,61.07,58.81,60.01,5663900
2026-01-27,57.76,60.98,57.51,59.66,7189700
2026-01-26,63.71,63.71,58.31,58.55,10177700
2026-01-23,60.79,62.54,57.51,62.21,11525900
2026-01-22,64.50,65.00,62.38,63.14,8993400
2026-01-21,63.52,64.71,63.04,63.87,6502800
2026-01-20,59.73,62.29,59.59,62.12,8466800
2026-01-16,62.79,63.35,59.95,60.07,12282500
2026-01-15,64.46,64.73,63.66,63.81,11655500
2026-01-14,65.72,66.95,64.44,64.57,10871600
2026-01-13,64.78,66.24,64.40,65.37,6903900
2026-01-12,64.15,66.05,63.52,65.67,8723000
2026-01-09,61.16,63.78,60.65,63.67,7025300
2026-01-08,59.56,61.42,58.47,61.09,12068600
2026-01-07,61.65,63.27,61.01,62.74,10645900
2026-01-06,61.73,65.01,61.73,63.56,12386000
2026-01-05,58.07,61.76,57.50,61.44,9786100
2026-01-02,54.12,56.61,54.01,56.54,5897500
2025-12-31,54.39,54.58,52.64,53.14,5678900
2025-12-30,54.73,54.82,53.78,54.38,3457300
2025-12-29,52.50,53.94,52.27,53.77,4211000
2025-12-26,54.42,54.43,53.74,54.25,3152800
2025-12-24,54.00,54.03,53.00,53.63,1884200
2025-12-23,54.36,54.36,53.08,53.65,5557800
2025-12-22,51.99,53.99,51.75,53.72,8577200
2025-12-19,48.66,51.67,48.54,51.25,9579700
2025-12-18,47.25,48.73,47.03,48.18,5808000
2025-12-17,47.20,47.83,46.66,46.84,4564100
2025-12-16,46.00,46.96,45.66,46.56,4553000
2025-12-15,46.66,46.68,45.40,45.49,3853800
2025-12-12,47.10,48.12,45.82,46.14,7533600
2025-12-11,44.50,47.48,44.50,47.24,8980500
2025-12-10,43.78,44.77,42.76,44.64,8209400
2025-12-09,43.65,44.53,43.34,43.47,4859800
2025-12-08,43.99,44.70,43.04,44.46,7234700
2025-12-05,44.25,44.84,43.73,43.77,5135400
2025-12-04,43.95,44.46,43.52,44.01,5540500
2025-12-03,42.41,44.96,42.32,44.10,8937500
2025-12-02,41.65,42.23,41.30,41.45,5932400
2025-12-01,41.82,42.73,41.45,41.65,7454900
2025-11-28,42.17,42.17,41.48,41.74,3769000
2025-11-26,39.60,42.16,39.60,41.57,7662000
2025-11-25,38.87,39.76,38.49,39.20,5008800
2025-11-24,37.01,38.83,36.63,38.72,4911600
2025-11-21,35.51,36.97,35.12,36.34,5183000
2025-11-20,37.41,38.28,35.55,35.83,5687500
2025-11-19,36.52,37.16,36.23,36.72,4079300
2025-11-18,35.43,36.87,35.17,36.55,5739900
2025-11-17,37.02,37.04,35.36,35.78,6772200
2025-11-14,36.82,38.15,36.42,37.59,4371700
2025-11-13,40.18,40.25,37.69,38.19,7396100
2025-11-12,38.17,40.38,38.15,40.03,8544700
2025-11-11,38.79,38.88,37.35,37.48,4301500
2025-11-10,38.54,39.17,38.22,38.79,5676500
2025-11-07,36.06,37.58,35.54,37.32,4693800
2025-11-06,36.02,37.50,35.80,36.70,8742000
2025-11-05,35.50,36.26,35.26,35.74,5215100
2025-11-04,35.90,36.67,35.22,35.26,4886100
2025-11-03,36.97,37.34,36.60,37.20,5225600
2025-10-31,37.02,37.02,36.42,36.79,4578300
2025-10-30,38.00,38.00,36.30,36.76,10180200
2025-10-29,39.95,40.00,38.70,38.91,6292800
2025-10-28,39.74,39.94,39.09,39.31,6073400
2025-10-27,39.74,40.81,39.34,39.90,7207000
2025-10-24,38.48,39.98,37.78,39.42,10623400
2025-10-23,37.69,41.55,37.69,40.14,20278200
2025-10-22,37.38,37.53,35.45,35.65,9566800
2025-10-21,37.96,38.00,36.07,37.23,8781500
2025-10-20,36.51,39.28,36.34,38.96,10907900
2025-10-17,36.58,36.76,35.64,35.97,4397900
2025-10-16,36.85,37.90,36.55,37.13,5978000
2025-10-15,36.30,36.66,35.62,36.46,5311000
2025-10-14,35.44,36.42,35.13,35.75,5867100
2025-10-13,36.41,36.90,35.61,36.25,6299500
2025-10-10,37.06,37.35,35.01,35.02,7317600
2025-10-09,38.08,38.09,36.78,37.00,9033000
2025-10-08,36.48,37.58,36.39,37.06,10564600
2025-10-07,34.10,35.87,34.02,35.53,11291400
2025-10-06,34.95,35.49,33.77,33.79,5365900
2025-10-03,35.14,35.25,34.35,34.50,5786900
2025-10-02,34.07,35.04,33.97,34.83,8145900
2025-10-01,33.00,34.33,32.85,33.85,5804300
2025-09-30,33.47,33.47,31.98,32.89,8584200
2025-09-29,33.58,33.92,32.96,33.85,7467900
2025-09-26,31.55,32.83,31.45,32.71,6488900
2025-09-25,31.21,31.84,30.81,31.45,5327500
2025-09-24,31.76,32.03,31.10,31.23,7167700
2025-09-23,32.67,32.97,31.03,31.53,7983300
2025-09-22,32.00,32.64,31.79,32.63,4758300
2025-09-19,32.77,32.99,32.28,32.46,6383100
2025-09-18,33.25,33.30,32.65,32.72,4318800
2025-09-17,33.00,34.14,32.73,32.86,6699200
2025-09-16,33.86,34.25,33.12,33.48,5921600
2025-09-15,33.58,34.15,33.40,33.60,5656800
2025-09-12,32.37,33.45,32.37,33.24,8313400
2025-09-11,31.01,32.35,30.71,32.29,6107200
2025-09-10,31.30,32.10,30.76,30.93,6482500
2025-09-09,32.19,32.91,31.25,31.27,6652800
2025-09-08,32.01,32.15,30.83,32.04,6672000
2025-09-05,31.73,32.07,30.99,31.83,5686300
2025-09-04,30.86,31.31,30.58,31.29,5865500
2025-09-03,30.61,31.44,30.28,31.11,6133600
2025-09-02,31.10,31.18,30.21,30.94,8241200
2025-08-29,31.90,32.47,31.80,32.19,4180500
2025-08-28,32.07,32.35,31.36,31.92,3678400
2025-08-27,31.43,31.91,31.01,31.80,3698000
2025-08-26,31.60,32.38,31.50,31.95,3652000
2025-08-25,31.55,32.09,31.50,31.80,3896700
2025-08-22,29.57,32.16,29.49,31.68,8535400
2025-08-21,29.04,29.61,28.92,29.51,3101600
2025-08-20,29.46,29.72,29.14,29.33,3463900
2025-08-19,29.75,30.15,29.58,29.85,3961300
2025-08-18,30.77,30.94,29.39,29.63,7364600
2025-08-15,31.39,31.54,30.96,31.27,5523000
2025-08-14,31.08,31.44,30.53,31.33,4725700
2025-08-13,31.65,31.75,31.23,31.73,4157000
2025-08-12,29.73,31.50,29.61,31.38,7308700
2025-08-11,30.25,30.51,29.24,29.33,8075700
2025-08-08,30.20,30.87,29.92,30.17,4868100
2025-08-07,30.07,30.18,29.02,30.10,4252900
2025-08-06,30.44,30.62,29.48,29.55,4903000
2025-08-05,29.50,29.73,28.83,29.62,3578800
2025-08-04,28.83,29.29,28.50,29.12,5493500
2025-08-01,29.20,29.29,28.11,28.40,6930400
2025-07-31,29.87,30.68,29.66,29.97,5337700
2025-07-30,30.36,30.48,29.72,30.12,6061300
2025-07-29,30.50,30.83,30.09,30.44,4734000
2025-07-28,30.80,31.32,30.17,30.68,5907400
2025-07-25,31.50,31.70,30.38,30.84,6912200
2025-07-24,31.66,32.24,31.23,31.86,6445100
2025-07-23,32.25,32.33,31.63,32.10,4947700
2025-07-22,31.29,31.98,31.15,31.93,5801400
2025-07-21,31.51,31.82,30.92,30.98,7500600
2025-07-18,29.78,30.68,29.29,30.33,7421100
2025-07-17,29.12,30.39,28.94,29.39,11921200
2025-07-16,28.63,28.91,28.12,28.56,9338400
2025-07-15,30.00,30.13,28.44,28.49,7001700
2025-07-14,30.50,30.74,29.22,29.79,7747200
2025-07-11,31.27,31.36,30.62,31.09,4425100
2025-07-10,31.32,31.97,30.95,31.57,4954100
2025-07-09,30.61,30.96,30.23,30.58,4616400
2025-07-08,30.37,31.44,30.18,30.51,5703500
2025-07-07,30.54,30.69,29.63,29.81,5086700
2025-07-03,31.30,31.68,31.13,31.15,3040900
2025-07-02,30.79,31.63,30.71,31.52,8882300
2025-07-01,29.71,30.72,29.59,30.20,7335300
2025-06-30,29.15,29.60,29.03,29.51,7087700
2025-06-27,29.88,30.00,27.72,28.47,9417500
2025-06-26,28.58,30.30,28.54,29.93,6456200
2025-06-25,28.95,28.97,28.13,28.17,3769300
2025-06-24,28.85,29.18,28.22,28.80,5249100
2025-06-23,28.05,28.75,27.89,28.71,5277800
2025-06-20,28.53,28.61,27.83,27.86,7894100
2025-06-18,28.63,28.85,28.13,28.35,5634800
2025-06-17,29.05,29.49,28.61,28.72,5188000
2025-06-16,28.73,29.15,28.53,29.01,5197500
2025-06-13,28.07,28.64,28.00,28.35,3202500
2025-06-12,28.02,28.89,27.98,28.86,4319700
2025-06-11,29.30,30.02,28.59,28.74,8174600
2025-06-10,28.69,29.42,28.48,28.76,5709500
2025-06-09,28.44,29.02,28.22,28.56,6632800
2025-06-06,28.20,28.47,27.78,28.01,3699500
2025-06-05,27.80,28.41,27.66,27.87,5945700
2025-06-04,27.91,27.92,27.31,27.37,4693700
2025-06-03,26.64,27.89,25.94,27.66,9010200
2025-06-02,26.15,26.97,25.83,26.60,11089100
2025-05-30,27.31,27.55,26.54,26.77,5724400
2025-05-29,28.43,28.43,27.42,27.63,3181100
2025-05-28,28.26,28.28,27.61,27.88,4859000
2025-05-27,28.25,28.50,28.00,28.25,4742300
2025-05-23,27.33,28.81,27.26,28.07,5297600
2025-05-22,28.06,28.35,27.53,27.98,4815200
2025-05-21,28.48,29.42,28.24,28.27,6272400
2025-05-20,29.25,29.45,28.48,28.79,4362800
2025-05-19,28.63,29.73,28.63,29.41,6323900
2025-05-16,28.29,29.67,28.29,29.40,8807700
2025-05-15,28.05,28.95,27.98,28.67,7055000
2025-05-14,28.78,29.86,28.75,29.61,9355100
2025-05-13,28.20,28.80,28.20,28.65,6836600
2025-05-12,27.50,28.51,27.50,28.12,11556300
2025-05-09,25.90,26.30,25.78,25.92,6144900
2025-05-08,24.66,26.00,24.40,25.72,9761200
2025-05-07,24.75,24.91,24.15,24.40,5292000
2025-05-06,24.80,25.17,24.68,24.85,5594200
2025-05-05,25.32,25.45,24.93,25.07,4453800
2025-05-02,25.11,25.88,24.74,25.53,5394000
2025-05-01,24.85,24.94,24.40,24.54,5126400
2025-04-30,24.00,24.60,23.60,24.53,5394700
2025-04-29,25.25,25.54,24.95,25.19,5833600
2025-04-28,25.45,26.04,25.19,25.56,7350700
2025-04-25,25.73,26.07,25.36,25.71,5296200
2025-04-24,25.25,26.61,25.25,26.44,6323200
2025-04-23,25.23,26.19,24.81,25.05,8478300
2025-04-22,23.62,24.94,23.57,24.32,8992900
2025-04-21,23.10,23.55,22.68,23.30,7072900
2025-04-17,23.80,24.65,23.06,23.32,13620400
2025-04-16,24.17,25.26,24.16,25.07,9150600
2025-04-15,24.51,25.37,24.44,24.68,4226900
2025-04-14,25.52,25.91,24.62,25.01,5833800
2025-04-11,24.22,25.01,23.86,24.75,7486000
2025-04-10,24.56,24.71,22.48,23.75,11076600
2025-04-09,22.13,26.67,21.53,25.86,13028200
2025-04-08,25.22,25.88,22.10,22.57,8923900
2025-04-07,23.92,26.26,23.02,24.59,7462000
2025-04-04,26.28,26.54,23.62,24.81,13147200
2025-04-03,28.85,28.99,27.13,27.33,9025500
2025-04-02,29.58,31.09,29.45,30.84,6289800
2025-04-01,30.30,30.54,29.40,30.14,4272500
2025-03-31,29.74,30.63,28.80,30.50,4982200
2025-03-28,32.05,32.18,30.51,30.66,6446600
2025-03-27,32.33,32.85,31.80,31.98,6066800
2025-03-26,34.09,34.45,33.06,33.34,3343700
2025-03-25,33.68,34.53,33.61,33.71,3650900
2025-03-24,34.46,34.63,33.31,33.47,4809000
2025-03-21,33.93,34.08,33.45,33.95,4720600
2025-03-20,34.57,35.47,34.37,34.84,3102800
2025-03-19,34.44,35.77,34.15,35.31,4510700
2025-03-18,34.59,34.66,32.99,33.97,5358600
2025-03-17,33.68,35.12,33.67,34.79,5839300
2025-03-14,33.00,33.60,32.59,33.53,3837100
2025-03-13,33.00,34.10,31.96,32.31,5503500
2025-03-12,32.40,33.69,32.13,33.25,4771100
2025-03-11,31.20,32.47,31.03,31.96,7065500
2025-03-10,32.42,32.57,30.63,30.98,5773400
