nome,ticker,exchange,isin,quota_numeratore,quota_denominatore,tipo
Petroleo Brasileiro,PBR,NYSE,US71654V4086,3,4,GROWTH-DIVIDEND
EQT-Corporation,EQT,NYSE,US26884L1098,3,4,GROWTH-DIVIDEND
Alcoa,AA,NYSE,US0138721065,2,4,GROWTH-DIVIDEND
Hecla Mining,HL,NYSE,US4227041062,4,4,GROWTH
Ur-Energy,URG,NYSE,CA91688R1082,4,4,GROWTH-SPECULATIVE
Marathon Digital,MARA,NASDAQ,US5657881067,0.5,4,GROWTH-SPECULATIVE
Patriot Battery Metals,PMET,TSXV,CA70337R1073,1,4,SPECULATIVE
Vizsla Silver Corp,VZLA,NYSE,CA92859G2027,2,4,SPECULATIVE
Piedmont Lithium,PLL,NASDAQ,US72016P1057,1,4,SPECULATIVE
AbraSilver Resource Corporation,ABRA,TSXV,CA00379L1067,0.5,4,SPECULATIVE
Opus Genetics Inc,IRD,NASDAQ,US67577R1023,0.5,4,SPECULATIVE
Ferroglobe PLC,GSM,NASDAQ,GB00B03MM709,0,4,GROWTH-SPECULATIVE
