"Date","Price","Open","High","Low","Vol.","Change %"
"01/13/2026","67.85","66.23","69.99","66.07","107.24K","8.93%"
"01/12/2026","62.29","60.56","62.56","60.45","111.79K","7.66%"
"01/09/2026","57.86","57.36","58.80","56.97","50.57K","-0.24%"
"01/08/2026","58.00","58.50","58.98","56.99","94.31K","-3.28%"
"01/07/2026","59.97","57.06","60.43","57.06","87.35K","6.31%"
"01/06/2026","56.41","53.56","57.30","53.49","124.80K","8.67%"
"01/05/2026","51.91","52.67","52.67","51.21","64.56K","-1.67%"
"01/02/2026","52.79","52.65","53.06","51.78","40.21K","0.42%"
"12/31/2025","52.57","52.68","53.48","51.04","52.94K","-1.70%"
"12/30/2025","53.48","53.20","54.95","53.19","95.66K","3.34%"
"12/29/2025","51.75","51.93","52.34","47.99","81.66K","-3.29%"
"12/26/2025","53.51","54.03","54.03","52.75","49.85K","-1.92%"
"12/24/2025","54.56","51.98","54.71","51.98","88.54K","9.12%"
"12/23/2025","50.00","49.80","50.40","48.69","48.25K","0.36%"
"12/22/2025","49.82","50.48","51.49","48.46","82.86K","1.03%"
"12/19/2025","49.31","47.01","49.85","46.98","126.74K","13.38%"
"12/18/2025","43.49","44.55","45.00","43.10","29.48K","-2.71%"
"12/17/2025","44.70","44.05","46.97","44.05","75.15K","4.46%"
"12/16/2025","42.79","44.00","44.30","41.75","82.50K","-3.86%"
"12/15/2025","44.51","43.39","44.67","43.05","65.21K","-0.93%"
"12/12/2025","44.93","44.96","45.45","43.99","53.93K","0.67%"
"12/11/2025","44.63","43.60","45.45","42.17","82.23K","1.92%"
"12/10/2025","43.79","42.00","44.25","42.00","202.20K","5.90%"
"12/09/2025","41.35","40.00","41.55","39.55","74.78K","3.79%"
"12/08/2025","39.84","37.69","39.88","37.47","108.59K","9.90%"
"12/05/2025","36.25","37.31","38.00","35.85","76.01K","-2.13%"
"12/04/2025","37.04","37.80","37.80","35.65","74.71K","-4.36%"
"12/03/2025","38.73","38.06","38.96","37.82","71.82K","1.76%"
"12/02/2025","38.06","38.86","39.11","37.61","82.76K","-2.23%"
"12/01/2025","38.93","37.00","39.24","36.50","97.30K","3.59%"
"11/28/2025","37.58","36.75","38.18","36.71","75.10K","6.70%"
"11/26/2025","35.22","34.09","35.81","33.81","112.99K","5.29%"
"11/25/2025","33.45","32.54","33.59","32.15","142.67K","9.14%"
