"Date","Price","Open","High","Low","Vol.","Change %"
"01/13/2026","4.970","5.060","5.060","4.920","700.20K","-0.60%"
"01/12/2026","5.000","4.860","5.060","4.860","1.15M","2.25%"
"01/09/2026","4.890","4.950","4.990","4.831","656.45K","-0.81%"
"01/08/2026","4.930","4.770","4.930","4.700","681.62K","1.86%"
"01/07/2026","4.840","4.850","4.920","4.665","716.29K","-0.62%"
"01/06/2026","4.870","4.820","4.905","4.800","816.04K","0.41%"
"01/05/2026","4.850","4.660","4.950","4.620","755.21K","5.66%"
"01/02/2026","4.590","4.700","4.730","4.530","971.65K","-1.08%"
"12/31/2025","4.640","4.590","4.705","4.580","811.79K","0.43%"
"12/30/2025","4.620","4.650","4.680","4.550","1.11M","0.00%"
"12/29/2025","4.620","4.640","4.720","4.560","564.84K","-2.12%"
"12/26/2025","4.720","4.760","4.800","4.710","477.23K","-0.84%"
"12/24/2025","4.760","4.760","4.800","4.650","452.15K","0.00%"
"12/23/2025","4.760","4.700","4.885","4.690","668.69K","1.28%"
"12/22/2025","4.700","4.670","4.768","4.635","516.15K","0.64%"
"12/19/2025","4.670","4.590","4.690","4.530","1.85M","1.74%"
"12/18/2025","4.590","4.720","4.765","4.560","907.67K","-2.13%"
"12/17/2025","4.690","4.500","4.740","4.495","1.26M","4.69%"
"12/16/2025","4.480","4.520","4.560","4.390","831.85K","-2.18%"
"12/15/2025","4.580","4.580","4.600","4.460","823.44K","0.66%"
"12/12/2025","4.550","4.770","4.770","4.550","853.89K","-3.60%"
"12/11/2025","4.720","4.580","4.755","4.519","859.13K","3.06%"
"12/10/2025","4.580","4.450","4.620","4.422","936.04K","2.92%"
"12/09/2025","4.450","4.480","4.570","4.440","948.78K","-1.55%"
"12/08/2025","4.520","4.690","4.690","4.470","1.08M","-3.00%"
"12/05/2025","4.660","4.680","4.740","4.560","869.90K","-0.43%"
"12/04/2025","4.680","4.750","4.780","4.630","696.60K","-2.09%"
"12/03/2025","4.780","4.655","4.790","4.650","1.07M","3.24%"
"12/02/2025","4.630","4.525","4.670","4.470","1.34M","3.81%"
"12/01/2025","4.460","4.400","4.540","4.295","1.66M","0.68%"
"11/28/2025","4.430","4.220","4.450","4.170","1.18M","5.73%"
"11/26/2025","4.190","4.100","4.230","4.040","1.41M","2.44%"
"11/25/2025","4.090","3.930","4.140","3.860","1.28M","5.14%"
"11/24/2025","3.890","3.940","3.970","3.845","1.69M","-1.77%"
"11/21/2025","3.960","3.820","4.090","3.800","2.30M","3.66%"
"11/20/2025","3.820","4.150","4.150","3.720","3.43M","-7.06%"
"11/19/2025","4.110","4.190","4.340","4.012","2.05M","-2.84%"
"11/18/2025","4.230","4.190","4.550","4.140","7.27M","12.50%"
"11/17/2025","3.760","3.860","3.930","3.755","1.58M","-2.34%"
"11/14/2025","3.850","3.720","3.895","3.710","1.53M","0.79%"
"11/13/2025","3.820","3.780","3.865","3.670","2.28M","1.06%"
"11/12/2025","3.780","3.750","3.830","3.660","2.33M","1.61%"
"11/11/2025","3.720","3.910","3.910","3.655","2.23M","-4.86%"
"11/10/2025","3.910","4.030","4.140","3.900","1.65M","-0.51%"
"11/07/2025","3.930","4.100","4.185","3.780","2.20M","-5.07%"
"11/06/2025","4.140","4.162","4.345","3.930","2.88M","-8.20%"
"11/05/2025","4.510","4.460","4.560","4.460","1.26M","0.22%"
"11/04/2025","4.500","4.600","4.675","4.460","1.70M","-5.46%"
"11/03/2025","4.760","4.820","4.880","4.690","1.28M","-1.86%"
"10/31/2025","4.850","4.800","4.850","4.680","1.96M","0.62%"
"10/30/2025","4.820","4.870","4.940","4.750","1.55M","-2.82%"
"10/29/2025","4.960","5.050","5.170","4.890","2.72M","-1.20%"
"10/28/2025","5.020","5.055","5.170","5.005","1.16M","-1.18%"
"10/27/2025","5.080","5.070","5.110","4.980","1.34M","0.20%"
"10/24/2025","5.070","5.110","5.180","5.060","2.04M","0.80%"
"10/23/2025","5.030","5.000","5.150","4.970","1.65M","2.65%"
"10/22/2025","4.900","5.050","5.160","4.880","2.10M","-4.67%"
"10/21/2025","5.140","5.010","5.180","4.810","2.08M","0.78%"
"10/20/2025","5.100","5.040","5.150","4.935","1.88M","4.08%"
"10/17/2025","4.900","5.090","5.160","4.885","1.47M","-6.13%"
"10/16/2025","5.220","5.540","5.540","5.160","1.04M","-4.92%"
"10/15/2025","5.490","5.630","5.740","5.460","2.59M","-1.26%"
"10/14/2025","5.560","5.290","5.580","5.150","2.52M","5.30%"
"10/13/2025","5.280","5.100","5.355","5.085","1.58M","6.45%"
"10/10/2025","4.960","5.310","5.365","4.960","1.23M","-6.15%"
"10/09/2025","5.285","5.320","5.430","5.180","1.02M","0.28%"
"10/08/2025","5.270","5.200","5.380","5.165","1.58M","2.73%"
"10/07/2025","5.130","5.090","5.228","4.860","1.61M","1.79%"
"10/06/2025","5.040","5.130","5.245","5.000","2.10M","0.00%"
"10/03/2025","5.040","4.600","5.096","4.526","2.80M","11.01%"
"10/02/2025","4.540","4.510","4.590","4.375","922.77K","0.67%"
"10/01/2025","4.510","4.560","4.585","4.395","1.05M","-0.88%"
"09/30/2025","4.550","4.310","4.565","4.310","1.49M","4.60%"
"09/29/2025","4.350","4.350","4.465","4.300","913.20K","0.93%"
"09/26/2025","4.310","4.340","4.345","4.260","678.98K","0.23%"
"09/25/2025","4.300","4.400","4.430","4.280","1.21M","-2.27%"
"09/24/2025","4.400","4.200","4.410","4.170","1.29M","5.52%"
"09/23/2025","4.170","4.230","4.310","4.160","695.38K","-0.71%"
"09/22/2025","4.200","4.180","4.210","4.100","1.01M","0.24%"
"09/19/2025","4.190","4.210","4.250","4.180","1.82M","-0.48%"
"09/18/2025","4.210","4.120","4.250","4.080","1.05M","2.43%"
"09/17/2025","4.110","4.150","4.280","4.060","1.39M","-0.96%"
"09/16/2025","4.150","4.190","4.205","4.120","447.70K","-0.95%"
"09/15/2025","4.190","4.150","4.231","4.110","644.61K","1.21%"
"09/12/2025","4.140","4.260","4.280","4.120","678.87K","-2.82%"
"09/11/2025","4.260","4.180","4.285","4.140","558.35K","1.91%"
"09/10/2025","4.180","4.170","4.270","4.170","641.53K","-0.24%"
"09/09/2025","4.190","4.300","4.300","4.120","808.39K","-2.33%"
"09/08/2025","4.290","4.330","4.335","4.210","554.86K","0.23%"
"09/05/2025","4.280","4.220","4.355","4.195","674.00K","2.39%"
"09/04/2025","4.180","4.150","4.190","4.070","950.15K","0.72%"
"09/03/2025","4.150","4.120","4.180","4.090","636.59K","0.48%"
"09/02/2025","4.130","4.120","4.150","4.070","639.45K","-1.20%"
"08/29/2025","4.180","4.170","4.280","4.135","895.08K","1.21%"
"08/28/2025","4.130","4.250","4.250","4.125","1.48M","-2.82%"
