"Date","Price","Open","High","Low","Vol.","Change %"
"01/13/2026","12.30","11.99","12.37","11.99","32.94M","3.62%"
"01/12/2026","11.87","11.92","12.04","11.87","11.86M","-0.08%"
"01/09/2026","11.88","11.85","12.07","11.85","13.44M","0.68%"
"01/08/2026","11.80","11.59","11.86","11.59","17.03M","2.25%"
"01/07/2026","11.54","11.53","11.59","11.48","15.30M","-0.26%"
"01/06/2026","11.57","11.82","11.89","11.55","21.18M","-1.45%"
"01/05/2026","11.74","11.83","11.89","11.49","28.17M","-1.51%"
"01/02/2026","11.92","11.88","11.95","11.73","10.00M","0.59%"
"12/31/2025","11.85","11.84","11.89","11.80","7.27M","-0.08%"
"12/30/2025","11.86","11.75","11.92","11.74","13.40M","2.33%"
"12/29/2025","11.59","11.56","11.66","11.52","13.42M","0.35%"
"12/26/2025","11.55","11.51","11.62","11.43","11.49M","-2.37%"
"12/24/2025","11.83","11.84","11.87","11.77","5.92M","0.00%"
"12/23/2025","11.83","11.77","11.86","11.76","10.90M","0.94%"
"12/22/2025","11.72","11.84","11.90","11.69","16.56M","-0.26%"
"12/19/2025","11.75","11.75","11.86","11.72","16.46M","0.26%"
"12/18/2025","11.72","11.77","11.87","11.65","19.27M","-0.42%"
"12/17/2025","11.77","11.79","11.83","11.68","24.09M","-0.17%"
"12/16/2025","11.79","11.99","12.00","11.67","31.67M","-3.20%"
"12/15/2025","12.18","12.33","12.35","12.17","16.00M","0.00%"
"12/12/2025","12.18","12.30","12.36","12.11","19.72M","0.25%"
"12/11/2025","12.15","12.20","12.25","12.12","12.73M","-0.65%"
"12/10/2025","12.23","12.25","12.29","12.10","12.10M","-0.73%"
"12/09/2025","12.32","12.10","12.34","12.08","16.25M","0.65%"
"12/08/2025","12.24","12.26","12.40","12.18","24.82M","0.91%"
"12/05/2025","12.13","12.82","12.96","12.09","41.18M","-5.82%"
"12/04/2025","12.88","12.98","13.01","12.81","12.26M","0.62%"
"12/03/2025","12.80","12.75","12.93","12.75","10.89M","1.51%"
"12/02/2025","12.61","12.57","12.63","12.35","15.91M","0.48%"
"12/01/2025","12.55","12.46","12.74","12.44","13.73M","0.08%"
"11/28/2025","12.54","12.48","12.54","12.43","12.81M","-0.95%"
"11/26/2025","12.66","12.66","12.77","12.57","15.29M","0.32%"
"11/25/2025","12.62","12.70","12.71","12.51","11.77M","-1.02%"
"11/24/2025","12.75","12.79","12.86","12.68","12.42M","-0.08%"
"11/21/2025","12.76","12.84","12.86","12.67","16.54M","-0.16%"
