"Date","Price","Open","High","Low","Vol.","Change %"
"01/13/2026","1.7100","1.6800","1.7300","1.6600","7.05M","1.18%"
"01/12/2026","1.6900","1.6300","1.7000","1.6000","12.32M","3.05%"
"01/09/2026","1.6400","1.6700","1.6950","1.6200","12.13M","0.61%"
"01/08/2026","1.6300","1.6300","1.6500","1.5800","5.70M","-0.61%"
"01/07/2026","1.6400","1.6200","1.6400","1.5700","10.99M","-0.61%"
"01/06/2026","1.6500","1.6200","1.6800","1.6000","10.95M","2.48%"
"01/05/2026","1.6100","1.5300","1.6300","1.5300","12.43M","5.23%"
"01/02/2026","1.5300","1.4000","1.5400","1.3950","10.74M","10.07%"
"12/31/2025","1.3900","1.3600","1.3900","1.3500","6.42M","2.21%"
"12/30/2025","1.3600","1.4100","1.4100","1.3500","5.85M","-1.45%"
"12/29/2025","1.3800","1.3600","1.4450","1.3600","5.15M","0.00%"
"12/26/2025","1.3800","1.4200","1.4200","1.3600","2.61M","-2.82%"
"12/24/2025","1.4200","1.3900","1.4200","1.3700","2.20M","1.43%"
"12/23/2025","1.4000","1.4200","1.4800","1.4000","7.76M","-2.10%"
"12/22/2025","1.4300","1.5100","1.5100","1.4200","6.94M","-2.05%"
"12/19/2025","1.4600","1.4300","1.5100","1.3900","50.64M","4.29%"
"12/18/2025","1.4000","1.3500","1.4300","1.3500","10.63M","4.48%"
"12/17/2025","1.3400","1.3000","1.3700","1.3000","12.77M","2.29%"
"12/16/2025","1.3100","1.3000","1.3400","1.2800","10.46M","-1.50%"
"12/15/2025","1.3300","1.3600","1.4800","1.3000","23.07M","3.91%"
"12/12/2025","1.2800","1.2400","1.2800","1.2200","12.51M","2.40%"
"12/11/2025","1.2500","1.1900","1.2500","1.1700","75.13M","-8.09%"
"12/10/2025","1.3600","1.3300","1.3700","1.2800","4.31M","0.00%"
"12/09/2025","1.3600","1.3300","1.3800","1.3203","4.19M","-0.73%"
"12/08/2025","1.3700","1.3700","1.4100","1.3600","3.48M","-0.72%"
"12/05/2025","1.3800","1.4400","1.4500","1.3650","5.61M","-4.17%"
"12/04/2025","1.4400","1.3900","1.4600","1.3600","6.67M","2.86%"
"12/03/2025","1.4000","1.3300","1.4000","1.3200","6.86M","5.26%"
"12/02/2025","1.3300","1.3000","1.3600","1.3000","6.21M","2.31%"
"12/01/2025","1.3000","1.3000","1.3400","1.2701","5.54M","-0.76%"
"11/28/2025","1.3100","1.2800","1.3250","1.2550","3.34M","3.15%"
"11/26/2025","1.2700","1.2400","1.2800","1.2300","4.27M","1.60%"
"11/25/2025","1.2500","1.2700","1.2774","1.2100","5.71M","-1.57%"
"11/24/2025","1.2700","1.2100","1.2700","1.1700","8.18M","8.55%"
"11/21/2025","1.1700","1.1700","1.1900","1.1200","9.49M","-0.85%"
"11/20/2025","1.1800","1.3000","1.3288","1.1800","9.85M","-7.09%"
"11/19/2025","1.2700","1.2100","1.3000","1.2000","8.99M","5.83%"
"11/18/2025","1.2000","1.1600","1.2100","1.1550","6.14M","5.26%"
"11/17/2025","1.1400","1.1900","1.2200","1.1350","7.97M","-4.20%"
"11/14/2025","1.1900","1.1800","1.2200","1.1500","6.45M","-1.65%"
"11/13/2025","1.2100","1.2800","1.3000","1.2000","9.92M","-7.63%"
"11/12/2025","1.3100","1.3100","1.3350","1.2800","4.05M","0.77%"
"11/11/2025","1.3000","1.2800","1.3200","1.2600","4.45M","-0.76%"
"11/10/2025","1.3100","1.3200","1.3400","1.2800","5.94M","5.65%"
"11/07/2025","1.2400","1.2500","1.2899","1.2200","12.87M","-2.36%"
"11/06/2025","1.2700","1.3700","1.3800","1.2700","11.13M","-7.30%"
"11/05/2025","1.3700","1.4400","1.4500","1.3400","10.65M","-4.86%"
"11/04/2025","1.4400","1.5200","1.5750","1.4400","13.30M","-10.56%"
"11/03/2025","1.6100","1.7100","1.7200","1.6100","10.07M","-6.40%"
"10/31/2025","1.7200","1.7100","1.7300","1.6600","4.76M","1.18%"
"10/30/2025","1.7000","1.6500","1.7400","1.6100","5.35M","1.80%"
"10/29/2025","1.6700","1.7000","1.7400","1.6501","7.06M","-1.18%"
"10/28/2025","1.6900","1.6500","1.7200","1.6100","11.64M","6.96%"
"10/27/2025","1.5800","1.6100","1.6100","1.5300","9.20M","-1.25%"
"10/24/2025","1.6000","1.5700","1.6300","1.5300","7.74M","3.90%"
"10/23/2025","1.5400","1.5600","1.6000","1.5136","7.57M","-1.28%"
"10/22/2025","1.5600","1.4800","1.5750","1.4500","9.62M","0.65%"
"10/21/2025","1.5500","1.5700","1.6000","1.5000","10.27M","-4.32%"
"10/20/2025","1.6200","1.7000","1.7098","1.5600","10.31M","0.62%"
"10/17/2025","1.6100","1.6600","1.7100","1.5900","17.59M","-8.00%"
"10/16/2025","1.7500","2.0700","2.0900","1.7150","20.89M","-13.79%"
"10/15/2025","2.0300","2.3000","2.3500","1.9500","23.96M","-3.33%"
"10/14/2025","2.1000","2.1000","2.2000","1.9200","25.78M","3.45%"
"10/13/2025","2.0300","1.9900","2.0500","1.9700","16.83M","4.10%"
"10/10/2025","1.9500","1.9600","2.0100","1.9100","19.24M","2.09%"
"10/09/2025","1.9100","1.8700","1.9800","1.8600","13.30M","3.24%"
"10/08/2025","1.8500","1.8600","1.9000","1.8100","10.89M","0.00%"
"10/07/2025","1.8500","1.9000","1.9000","1.7700","9.92M","2.21%"
"10/06/2025","1.8100","1.7400","1.8353","1.7200","10.19M","4.62%"
"10/03/2025","1.7300","1.7600","1.7750","1.6900","6.69M","-1.70%"
"10/02/2025","1.7600","1.7600","1.8200","1.7206","5.16M","0.00%"
"10/01/2025","1.7600","1.7700","1.7900","1.7201","6.30M","-1.68%"
"09/30/2025","1.7900","1.7500","1.8000","1.7200","15.52M","1.70%"
"09/29/2025","1.7600","1.7800","1.7900","1.7200","7.47M","0.00%"
"09/26/2025","1.7600","1.6900","1.7694","1.6900","7.35M","0.57%"
"09/25/2025","1.7500","1.6000","1.7800","1.5600","12.41M","7.36%"
"09/24/2025","1.6300","1.6800","1.7284","1.6200","7.06M","-2.98%"
"09/23/2025","1.6800","1.7200","1.7400","1.6400","9.89M","-1.75%"
"09/22/2025","1.7100","1.6800","1.7250","1.6100","14.16M","3.64%"
"09/19/2025","1.6500","1.5100","1.6500","1.4900","29.89M","9.27%"
"09/18/2025","1.5100","1.5100","1.5200","1.4900","7.72M","1.34%"
"09/17/2025","1.4900","1.5000","1.5200","1.4700","5.93M","-0.67%"
"09/16/2025","1.5000","1.5900","1.5987","1.4900","7.14M","-3.23%"
"09/15/2025","1.5500","1.5000","1.5700","1.4200","13.80M","6.16%"
"09/12/2025","1.4600","1.5100","1.5100","1.4300","4.93M","-1.35%"
"09/11/2025","1.4800","1.4900","1.5100","1.4700","4.37M","-1.33%"
"09/10/2025","1.5000","1.4700","1.5200","1.4600","5.37M","2.04%"
"09/09/2025","1.4700","1.4600","1.5000","1.4500","3.60M","1.38%"
"09/08/2025","1.4500","1.4600","1.4900","1.4400","3.68M","-1.36%"
"09/05/2025","1.4700","1.5600","1.5600","1.4200","6.60M","-5.16%"
"09/04/2025","1.5500","1.5650","1.5800","1.5000","7.65M","-0.64%"
"09/03/2025","1.5600","1.5900","1.6200","1.5100","20.13M","13.87%"
"09/02/2025","1.3700","1.3800","1.3900","1.3250","8.09M","-1.44%"
"08/29/2025","1.3900","1.4100","1.4300","1.3700","6.66M","0.00%"
"08/28/2025","1.3900","1.3700","1.4200","1.3500","5.54M","2.21%"
"08/27/2025","1.3600","1.4000","1.4000","1.3500","3.43M","-2.86%"
"08/26/2025","1.4000","1.3500","1.4200","1.3487","8.65M","3.70%"
"08/25/2025","1.3500","1.3500","1.3800","1.3200","5.44M","0.75%"
"08/22/2025","1.3400","1.2500","1.3800","1.2500","7.40M","8.06%"
"08/21/2025","1.2400","1.2000","1.2500","1.1900","3.40M","5.08%"
"08/20/2025","1.1800","1.2200","1.2500","1.1600","3.87M","-3.28%"
"08/19/2025","1.2200","1.2900","1.3000","1.2000","5.92M","-5.43%"
"08/18/2025","1.2900","1.1900","1.3000","1.1800","7.90M","9.32%"
"08/15/2025","1.1800","1.1900","1.2000","1.1600","1.35M","-1.67%"
"08/14/2025","1.2000","1.1900","1.2000","1.1637","2.11M","0.84%"
"08/13/2025","1.1900","1.2000","1.2200","1.1500","3.09M","-1.65%"
"08/12/2025","1.2100","1.2200","1.2300","1.1900","2.88M","0.00%"
"08/11/2025","1.2100","1.2300","1.2400","1.1800","3.27M","-0.82%"
"08/08/2025","1.2200","1.2400","1.2900","1.2100","3.18M","0.00%"
"08/07/2025","1.2200","1.2600","1.2700","1.1900","4.87M","-2.40%"
"08/06/2025","1.2500","1.2900","1.3000","1.2300","2.89M","0.00%"
"08/05/2025","1.2500","1.2400","1.2900","1.2300","3.98M","1.63%"
"08/04/2025","1.2300","1.2000","1.2500","1.1700","2.62M","6.03%"
"08/01/2025","1.1600","1.1800","1.1900","1.1300","3.58M","-4.13%"
"07/31/2025","1.2100","1.2400","1.2400","1.1800","7.92M","-1.63%"
"07/30/2025","1.2300","1.2800","1.3099","1.2200","3.19M","-3.91%"
"07/29/2025","1.2800","1.4100","1.4100","1.2600","5.31M","-9.22%"
