Date,Open,High,Low,Close,Volume
2026-02-11,5.41,5.46,5.22,5.45,1108000
2026-02-10,5.17,5.44,5.08,5.33,1483100
2026-02-09,5.15,5.20,5.00,5.17,1048700
2026-02-06,5.00,5.23,4.94,5.16,815900
2026-02-05,4.92,5.05,4.77,4.89,2184400
2026-02-04,5.13,5.14,4.90,5.04,1257100
2026-02-03,4.92,5.18,4.91,5.05,1111500
2026-02-02,4.76,4.91,4.73,4.88,776300
2026-01-30,4.76,4.94,4.72,4.75,1500900
2026-01-29,4.99,5.01,4.72,4.88,1034400
2026-01-28,4.95,5.00,4.81,4.89,695400
2026-01-27,4.90,5.00,4.88,4.90,958500
2026-01-26,5.30,5.30,4.94,4.94,1362300
2026-01-23,5.10,5.24,5.01,5.17,965400
2026-01-22,5.02,5.14,4.98,5.09,709100
2026-01-21,5.11,5.16,4.92,5.01,1075800
2026-01-20,4.90,5.15,4.88,5.06,1825800
2026-01-16,5.25,5.27,4.86,4.93,2252200
2026-01-15,5.23,5.37,5.11,5.31,1297700
2026-01-14,4.99,5.40,4.96,5.29,2363200
2026-01-13,5.06,5.06,4.92,4.97,700200
2026-01-12,4.86,5.06,4.86,5.00,1149500
2026-01-09,4.95,4.99,4.83,4.89,656400
2026-01-08,4.77,4.93,4.70,4.93,681600
2026-01-07,4.85,4.92,4.67,4.84,716300
2026-01-06,4.82,4.91,4.80,4.87,816000
2026-01-05,4.66,4.95,4.62,4.85,755200
2026-01-02,4.70,4.73,4.53,4.59,971600
2025-12-31,4.59,4.71,4.58,4.64,811800
2025-12-30,4.65,4.68,4.55,4.62,1114000
2025-12-29,4.64,4.72,4.56,4.62,564800
2025-12-26,4.76,4.80,4.71,4.72,477200
2025-12-24,4.76,4.80,4.65,4.76,452200
2025-12-23,4.70,4.89,4.69,4.76,668700
2025-12-22,4.67,4.77,4.64,4.70,516100
2025-12-19,4.59,4.69,4.53,4.67,1848200
2025-12-18,4.72,4.77,4.56,4.59,907600
2025-12-17,4.50,4.74,4.50,4.69,1256700
2025-12-16,4.52,4.56,4.39,4.48,831800
2025-12-15,4.58,4.60,4.46,4.58,823400
2025-12-12,4.77,4.77,4.55,4.55,853900
2025-12-11,4.58,4.76,4.52,4.72,859100
2025-12-10,4.45,4.62,4.42,4.58,936000
2025-12-09,4.48,4.57,4.44,4.45,948800
2025-12-08,4.69,4.69,4.47,4.52,1085000
2025-12-05,4.68,4.74,4.56,4.66,869900
2025-12-04,4.75,4.78,4.63,4.68,696600
2025-12-03,4.66,4.79,4.65,4.78,1071100
2025-12-02,4.53,4.67,4.47,4.63,1340200
2025-12-01,4.40,4.54,4.30,4.46,1655400
2025-11-28,4.22,4.45,4.17,4.43,1184700
2025-11-26,4.10,4.23,4.04,4.19,1408600
2025-11-25,3.93,4.14,3.86,4.09,1281800
2025-11-24,3.94,3.97,3.85,3.89,1686200
2025-11-21,3.82,4.09,3.80,3.96,2302100
2025-11-20,4.15,4.15,3.72,3.82,3429300
2025-11-19,4.19,4.34,4.01,4.11,2054000
2025-11-18,4.19,4.55,4.14,4.23,7270900
2025-11-17,3.86,3.93,3.76,3.76,1577000
2025-11-14,3.72,3.90,3.71,3.85,1530900
2025-11-13,3.78,3.87,3.67,3.82,2284300
2025-11-12,3.75,3.83,3.66,3.78,2326000
2025-11-11,3.91,3.91,3.66,3.72,2228500
2025-11-10,4.03,4.14,3.90,3.91,1653700
2025-11-07,4.10,4.19,3.78,3.93,2204000
2025-11-06,4.16,4.35,3.93,4.14,2882700
2025-11-05,4.46,4.56,4.46,4.51,1259800
2025-11-04,4.60,4.68,4.46,4.50,1700700
2025-11-03,4.82,4.88,4.69,4.76,1280900
2025-10-31,4.80,4.85,4.68,4.85,1955500
2025-10-30,4.87,4.94,4.75,4.82,1546900
2025-10-29,5.05,5.17,4.89,4.96,2722800
2025-10-28,5.06,5.17,5.01,5.02,1155900
2025-10-27,5.07,5.11,4.98,5.08,1340800
2025-10-24,5.11,5.18,5.06,5.07,2043300
2025-10-23,5.00,5.15,4.97,5.03,1646600
2025-10-22,5.05,5.16,4.88,4.90,2102500
2025-10-21,5.01,5.18,4.81,5.14,2083000
2025-10-20,5.04,5.15,4.93,5.10,1879700
2025-10-17,5.09,5.16,4.89,4.90,1466100
2025-10-16,5.54,5.54,5.16,5.22,1042700
2025-10-15,5.63,5.74,5.46,5.49,2591900
2025-10-14,5.29,5.58,5.15,5.56,2522700
2025-10-13,5.10,5.36,5.09,5.28,1581000
2025-10-10,5.31,5.37,4.96,4.96,1227500
2025-10-09,5.32,5.43,5.18,5.29,1022200
2025-10-08,5.20,5.38,5.16,5.27,1577800
2025-10-07,5.09,5.23,4.86,5.13,1611500
2025-10-06,5.13,5.25,5.00,5.04,2101200
2025-10-03,4.60,5.10,4.53,5.04,2799600
2025-10-02,4.51,4.59,4.38,4.54,922700
2025-10-01,4.56,4.59,4.39,4.51,1045700
2025-09-30,4.31,4.57,4.31,4.55,1494300
2025-09-29,4.35,4.47,4.30,4.35,913200
2025-09-26,4.34,4.35,4.26,4.31,678900
2025-09-25,4.40,4.43,4.28,4.30,1209300
2025-09-24,4.20,4.41,4.17,4.40,1288400
2025-09-23,4.23,4.31,4.16,4.17,695300
