Date,Open,High,Low,Close,Volume
10 Agosto 2000,6.31,7.16,6.13,7.16,143929200
11 Agosto 2000,6.84,7.28,6.75,7.14,25139200
14 Agosto 2000,7.03,7.22,7.00,7.11,6935200
15 Agosto 2000,7.11,7.36,7.02,7.14,9078800
16 Agosto 2000,7.20,7.50,7.13,7.33,11728000
17 Agosto 2000,7.39,7.78,7.36,7.69,7148000
18 Agosto 2000,7.75,7.75,7.00,7.25,8824800
21 Agosto 2000,7.25,7.31,7.09,7.28,6075200
22 Agosto 2000,7.31,7.36,7.22,7.36,5407600
23 Agosto 2000,7.34,7.53,7.28,7.53,7268400
24 Agosto 2000,7.42,7.47,7.36,7.38,5224400
25 Agosto 2000,7.45,7.56,7.38,7.56,2186800
28 Agosto 2000,7.59,7.59,7.45,7.53,2670800
29 Agosto 2000,7.48,7.78,7.47,7.78,6166400
30 Agosto 2000,7.75,8.25,7.75,8.06,8611200
31 Agosto 2000,8.08,8.08,7.88,7.95,4484400
1 Settembre 2000,7.92,7.92,7.78,7.80,5405600
5 Settembre 2000,7.77,7.86,7.70,7.84,3062400
6 Settembre 2000,7.91,8.38,7.91,8.25,6776000
7 Settembre 2000,8.38,8.52,8.19,8.34,5206800
8 Settembre 2000,8.34,8.34,8.08,8.19,5362800
11 Settembre 2000,8.09,8.44,8.02,8.33,6394400
12 Settembre 2000,8.19,8.28,8.05,8.05,7189200
13 Settembre 2000,8.03,8.05,7.70,7.72,5692400
14 Settembre 2000,7.88,7.91,7.55,7.59,6436000
15 Settembre 2000,7.52,7.83,7.45,7.56,4436400
18 Settembre 2000,7.45,7.66,7.27,7.34,3819200
19 Settembre 2000,7.34,7.45,7.28,7.39,3072400
20 Settembre 2000,7.48,7.66,7.47,7.53,6325200
21 Settembre 2000,7.55,7.55,7.28,7.33,3255600
22 Settembre 2000,7.25,7.31,7.00,7.25,4007200
25 Settembre 2000,7.23,7.44,7.19,7.36,3151600
26 Settembre 2000,7.34,7.63,7.31,7.58,1533600
27 Settembre 2000,7.69,7.72,7.52,7.55,4248800
28 Settembre 2000,7.58,7.59,7.44,7.50,4384800
29 Settembre 2000,7.50,7.52,7.47,7.52,2407600
2 Ottobre 2000,7.52,7.59,7.48,7.53,3382400
3 Ottobre 2000,7.59,7.61,7.50,7.58,2693600
4 Ottobre 2000,7.55,7.61,7.48,7.58,1054000
5 Ottobre 2000,7.58,7.61,7.50,7.61,4484000
6 Ottobre 2000,7.61,7.61,7.34,7.44,2583600
9 Ottobre 2000,7.42,7.50,7.31,7.50,1610800
10 Ottobre 2000,7.47,7.72,7.45,7.63,4442000
11 Ottobre 2000,7.66,7.78,7.58,7.63,4415200
12 Ottobre 2000,7.69,8.20,7.66,7.95,5707200
13 Ottobre 2000,7.75,7.89,7.66,7.73,2770000
16 Ottobre 2000,7.67,7.67,7.45,7.50,2358000
17 Ottobre 2000,7.50,7.50,7.22,7.27,2868000
18 Ottobre 2000,7.09,7.34,7.00,7.34,9335600
19 Ottobre 2000,7.36,7.48,7.31,7.44,4136000
20 Ottobre 2000,7.39,7.41,7.22,7.28,3190000
23 Ottobre 2000,7.17,7.22,6.98,7.00,2953200
24 Ottobre 2000,6.94,6.98,6.64,6.75,6871200
25 Ottobre 2000,6.55,6.72,6.50,6.58,4284000
26 Ottobre 2000,6.52,7.03,6.52,7.00,4966400
27 Ottobre 2000,7.02,7.16,6.97,7.09,5050400
30 Ottobre 2000,6.97,7.33,6.95,7.19,2144800
31 Ottobre 2000,7.36,7.38,7.22,7.27,2072400
1 Novembre 2000,7.19,7.41,7.19,7.34,2196400
2 Novembre 2000,7.34,7.47,7.27,7.27,613200
3 Novembre 2000,7.16,7.25,7.03,7.06,2234400
6 Novembre 2000,7.06,7.23,7.05,7.14,898800
7 Novembre 2000,7.06,7.31,7.03,7.27,1193200
8 Novembre 2000,7.36,7.36,7.13,7.13,2472400
9 Novembre 2000,7.08,7.13,6.94,7.00,3443200
10 Novembre 2000,6.95,7.09,6.92,6.94,2756000
13 Novembre 2000,6.84,7.03,6.84,6.98,3948400
14 Novembre 2000,7.08,7.16,7.05,7.06,2870400
15 Novembre 2000,7.09,7.13,7.00,7.11,1294400
16 Novembre 2000,7.06,7.34,7.06,7.34,2372000
17 Novembre 2000,7.19,7.34,7.03,7.08,2003600
20 Novembre 2000,7.06,7.20,7.02,7.20,1155200
21 Novembre 2000,7.14,7.39,7.13,7.34,2858000
22 Novembre 2000,7.23,7.31,7.17,7.19,3782000
24 Novembre 2000,6.92,7.00,6.80,6.91,1526400
27 Novembre 2000,6.84,6.92,6.63,6.72,4482800
28 Novembre 2000,6.70,6.75,6.61,6.66,3495600
29 Novembre 2000,6.69,6.69,6.59,6.64,3479600
30 Novembre 2000,6.55,6.63,6.39,6.44,5722000
1 Dicembre 2000,6.30,6.56,6.30,6.50,2557600
4 Dicembre 2000,6.38,6.48,6.31,6.47,1984400
