"Date","Price","Open","High","Low","Vol.","Change %"
"01/13/2026","24.310","25.140","25.480","24.045","22.62M","-0.61%"
"01/12/2026","24.460","23.930","24.885","23.260","25.66M","8.95%"
"01/09/2026","22.450","21.485","22.620","21.180","20.41M","6.85%"
"01/08/2026","21.010","20.470","21.120","20.210","16.88M","-1.68%"
"01/07/2026","21.370","21.090","21.405","19.310","27.04M","-4.04%"
"01/06/2026","22.270","20.030","22.280","19.900","29.41M","12.87%"
"01/05/2026","19.730","19.400","20.460","19.106","22.05M","4.56%"
"01/02/2026","18.870","19.650","19.680","18.040","17.78M","-1.67%"
"12/31/2025","19.190","18.990","19.660","18.930","14.49M","-1.54%"
"12/30/2025","19.490","19.665","19.936","19.195","17.51M","1.51%"
"12/29/2025","19.200","19.180","19.770","18.700","23.63M","-4.95%"
"12/26/2025","20.200","20.330","20.380","19.615","20.25M","1.87%"
"12/24/2025","19.830","20.380","20.380","19.430","11.26M","-2.32%"
"12/23/2025","20.300","21.035","21.190","19.860","19.53M","-1.22%"
"12/22/2025","20.550","20.500","20.950","20.250","23.63M","4.47%"
"12/19/2025","19.670","19.160","20.570","19.145","139.79M","3.36%"
"12/18/2025","19.030","19.250","19.960","18.990","18.62M","-1.96%"
"12/17/2025","19.410","19.630","19.726","19.105","19.42M","2.05%"
"12/16/2025","19.020","18.700","19.300","18.520","16.19M","0.96%"
"12/15/2025","18.840","19.630","19.740","18.540","17.76M","0.16%"
"12/12/2025","18.810","20.040","20.190","18.385","25.49M","-2.79%"
"12/11/2025","19.350","17.525","19.675","17.340","34.34M","12.57%"
"12/10/2025","17.190","16.840","17.440","16.650","17.80M","1.12%"
"12/09/2025","17.000","15.990","17.275","15.950","16.84M","7.26%"
"12/08/2025","15.850","16.990","17.055","15.840","15.20M","-6.60%"
"12/05/2025","16.970","17.060","17.475","16.730","16.47M","0.89%"
"12/04/2025","16.820","17.030","17.250","16.640","16.62M","-3.11%"
"12/03/2025","17.360","17.650","18.119","17.210","15.21M","-0.91%"
"12/02/2025","17.520","17.120","17.550","16.500","20.95M","2.46%"
"12/01/2025","17.100","17.240","17.400","16.550","24.53M","1.66%"
"11/28/2025","16.820","16.400","16.955","16.260","14.12M","5.32%"
"11/26/2025","15.970","15.140","16.205","15.040","19.72M","6.61%"
"11/25/2025","14.980","14.490","15.255","14.385","15.96M","3.60%"
"11/24/2025","14.460","13.390","14.530","13.380","14.78M","8.07%"
"11/21/2025","13.380","13.170","13.400","12.800","23.59M","1.29%"
"11/20/2025","13.210","14.245","14.685","13.110","16.85M","-6.38%"
"11/19/2025","14.110","14.410","14.850","13.770","11.48M","0.36%"
"11/18/2025","14.060","14.100","14.380","13.840","12.09M","0.57%"
"11/17/2025","13.980","14.300","14.705","13.670","13.70M","-4.25%"
"11/14/2025","14.600","13.910","14.807","13.680","13.73M","-1.62%"
"11/13/2025","14.840","15.500","15.515","14.685","17.16M","-4.44%"
"11/12/2025","15.530","14.915","16.095","14.800","20.74M","5.15%"
"11/11/2025","14.770","15.170","15.350","14.420","11.71M","-1.66%"
"11/10/2025","15.020","14.530","15.300","14.430","19.40M","8.21%"
"11/07/2025","13.880","13.560","14.060","13.250","19.52M","2.44%"
"11/06/2025","13.550","13.820","15.420","13.325","36.37M","11.89%"
"11/05/2025","12.110","12.200","12.380","11.810","17.28M","1.17%"
"11/04/2025","11.970","12.210","12.440","11.830","16.35M","-6.19%"
"11/03/2025","12.760","12.780","13.220","12.530","18.09M","-0.85%"
"10/31/2025","12.870","12.900","12.950","12.570","25.65M","-0.23%"
"10/30/2025","12.900","12.360","13.040","12.345","13.87M","2.95%"
"10/29/2025","12.530","13.200","13.250","12.400","18.57M","-1.73%"
"10/28/2025","12.750","12.150","12.910","12.033","13.44M","3.16%"
"10/27/2025","12.360","12.405","12.870","12.020","16.74M","-4.56%"
"10/24/2025","12.950","12.720","13.075","12.650","12.86M","0.15%"
"10/23/2025","12.930","13.295","13.350","12.860","13.83M","-0.46%"
"10/22/2025","12.990","12.340","13.200","12.290","16.73M","1.41%"
"10/21/2025","12.810","12.980","13.160","12.625","20.67M","-11.47%"
"10/20/2025","14.470","14.310","14.560","14.038","13.11M","3.88%"
"10/17/2025","13.930","14.790","14.880","13.560","24.89M","-8.60%"
"10/16/2025","15.240","14.285","15.440","14.100","27.12M","7.63%"
"10/15/2025","14.160","13.800","14.640","13.755","22.15M","6.55%"
"10/14/2025","13.290","13.145","13.645","13.090","13.63M","-1.41%"
"10/13/2025","13.480","13.500","13.730","13.310","19.18M","7.50%"
"10/10/2025","12.540","13.030","13.145","12.384","19.92M","-1.95%"
"10/09/2025","12.790","13.700","13.840","12.510","23.80M","-4.12%"
"10/08/2025","13.340","12.410","13.360","12.209","22.75M","11.63%"
"10/07/2025","11.950","12.450","12.460","11.950","16.62M","-4.17%"
