"Date","Price","Open","High","Low","Vol.","Change %"
"01/13/2026","10.95","10.90","11.07","10.61","43.13M","2.82%"
"01/12/2026","10.65","10.22","10.85","10.16","38.51M","4.21%"
"01/09/2026","10.22","10.52","10.57","10.07","32.17M","-2.11%"
"01/08/2026","10.44","9.90","10.68","9.83","31.09M","3.57%"
"01/07/2026","10.08","10.29","10.32","9.82","32.22M","-2.23%"
"01/06/2026","10.31","10.63","10.69","9.97","34.06M","-2.64%"
"01/05/2026","10.59","10.36","10.73","10.21","40.20M","6.86%"
"01/02/2026","9.91","9.19","9.99","9.03","45.41M","10.36%"
"12/31/2025","8.98","9.35","9.38","8.95","30.54M","-3.75%"
"12/30/2025","9.33","9.52","9.66","9.31","28.45M","-1.69%"
"12/29/2025","9.49","9.47","9.85","9.37","29.56M","-1.04%"
"12/26/2025","9.59","9.97","9.97","9.43","28.50M","-3.52%"
"12/24/2025","9.94","9.81","9.94","9.69","13.17M","0.81%"
"12/23/2025","9.86","9.99","10.06","9.69","32.30M","-2.67%"
"12/22/2025","10.13","10.40","10.69","9.99","35.38M","-0.49%"
"12/19/2025","10.18","9.90","10.22","9.89","57.07M","5.06%"
"12/18/2025","9.69","10.19","10.37","9.61","46.08M","-2.42%"
"12/17/2025","9.93","10.78","10.95","9.92","49.40M","-7.11%"
"12/16/2025","10.69","10.77","11.05","10.50","39.83M","-0.09%"
"12/15/2025","10.70","11.48","11.51","10.58","44.71M","-7.12%"
